|dates|BigStone_Minnesota_UnitedStates.JHU_ConfirmedCases.data|BigStone_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|BigStone_Minnesota_UnitedStates.NYT_ConfirmedCases.data|BigStone_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|BigStone_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|BigStone_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|BigStone_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|BigStone_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|787.0|0|787.0|0|4.0|0|0.0|100
0|2021-10-18|789.0|0|789.0|0|4.0|0|0.0|100
0|2021-10-19|793.0|0|793.0|0|4.0|0|0.0|100
0|2021-10-20|795.0|0|795.0|0|4.0|0|0.0|100
0|2021-10-21|797.0|0|797.0|0|4.0|0|0.0|100
0|2021-10-22|797.0|0|797.0|0|4.0|0|0.0|100
0|2021-10-23|797.0|0|797.0|0|4.0|0|0.0|100
0|2021-10-24|797.0|0|797.0|0|4.0|0|0.0|100
0|2021-10-25|798.0|0|798.0|0|4.0|0|0.0|100
0|2021-10-26|805.0|0|805.0|0|5.0|0|0.0|100
0|2021-10-27|807.0|0|807.0|0|5.0|0|0.0|100
0|2021-10-28|810.0|0|810.0|0|5.0|0|0.0|100
0|2021-10-29|813.0|0|813.0|0|5.0|0|0.0|100
0|2021-10-30|813.0|0|813.0|0|5.0|0|0.0|100
0|2021-10-31|813.0|0|813.0|0|5.0|0|0.0|100
0|2021-11-01|837.0|0|837.0|0|5.0|0|0.0|100
0|2021-11-02|846.0|0|846.0|0|5.0|0|0.0|100
0|2021-11-03|847.0|0|847.0|0|5.0|0|0.0|100
0|2021-11-04|856.0|0|856.0|0|5.0|0|0.0|100
0|2021-11-05|861.0|0|861.0|0|5.0|0|0.0|100
0|2021-11-06|861.0|0|861.0|0|5.0|0|0.0|100
0|2021-11-07|861.0|0|861.0|0|5.0|0|0.0|100
0|2021-11-08|866.0|0|866.0|0|5.0|0|0.0|100
0|2021-11-09|875.0|0|875.0|0|5.0|0|0.0|100
0|2021-11-10|875.0|0|878.0|0|5.0|0|0.0|100
0|2021-11-11|890.0|0|890.0|0|5.0|0|0.0|100
0|2021-11-12|890.0|0|890.0|0|5.0|0|0.0|100
0|2021-11-13|890.0|0|890.0|0|5.0|0|0.0|100
0|2021-11-14|890.0|0|890.0|0|5.0|0|0.0|100
0|2021-11-15|894.0|0|894.0|0|5.0|0|0.0|100
0|2021-11-16|905.0|0|905.0|0|5.0|0|0.0|100
0|2021-11-17|909.0|0|909.0|0|5.0|0|0.0|100
0|2021-11-18|916.0|0|916.0|0|5.0|0|0.0|100
0|2021-11-19|918.0|0|918.0|0|5.0|0|0.0|100
0|2021-11-20|918.0|0|918.0|0|5.0|0|0.0|100
0|2021-11-21|918.0|0|918.0|0|5.0|0|0.0|100
0|2021-11-22|921.0|0|921.0|0|5.0|0|0.0|100
0|2021-11-23|927.0|0|927.0|0|5.0|0|0.0|100
0|2021-11-24|930.0|0|930.0|0|5.0|0|0.0|100
0|2021-11-25|930.0|0|930.0|0|5.0|0|0.0|100
0|2021-11-26|936.0|0|936.0|0|5.0|0|0.0|100
0|2021-11-27|936.0|0|936.0|0|5.0|0|0.0|100
0|2021-11-28|936.0|0|936.0|0|5.0|0|0.0|100
0|2021-11-29|939.0|0|939.0|0|5.0|0|0.0|100
0|2021-11-30|946.0|0|946.0|0|5.0|0|0.0|100
0|2021-12-01|948.0|0|948.0|0|5.0|0|0.0|100
0|2021-12-02|948.0|0|955.0|0|5.0|0|0.0|100
0|2021-12-03|958.0|0|958.0|0|5.0|0|0.0|100
0|2021-12-04|958.0|0|958.0|0|5.0|0|0.0|100
0|2021-12-05|958.0|0|958.0|0|5.0|0|0.0|100
0|2021-12-06|964.0|0|964.0|0|5.0|0|0.0|100
0|2021-12-07|968.0|0|968.0|0|6.0|0|0.0|100
0|2021-12-08|969.0|0|969.0|0|6.0|0|0.0|100
0|2021-12-09|971.0|0|971.0|0|6.0|0|0.0|100
0|2021-12-10|976.0|0|976.0|0|6.0|0|0.0|100
0|2021-12-11|976.0|0|976.0|0|6.0|0|0.0|100
0|2021-12-12|976.0|0|976.0|0|6.0|0|0.0|100
0|2021-12-13|980.0|0|980.0|0|6.0|0|0.0|100
0|2021-12-14|980.0|0|982.0|0|6.0|0|0.0|100
0|2021-12-15|986.0|0|986.0|0|7.0|0|0.0|100
0|2021-12-16|987.0|0|987.0|0|7.0|0|0.0|100
0|2021-12-17|988.0|0|988.0|0|7.0|0|0.0|100
0|2021-12-18|988.0|0|988.0|0|7.0|0|0.0|100
0|2021-12-19|988.0|0|988.0|0|7.0|0|0.0|100
0|2021-12-20|992.0|0|992.0|0|7.0|0|0.0|100
