|dates|Torrance_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Torrance_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Torrance_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Torrance_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Torrance_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Torrance_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Torrance_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Torrance_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-18|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-19|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-20|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-21|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-22|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-23|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-24|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-25|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-26|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-27|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-28|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-29|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-30|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-10-31|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-11-01|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-11-02|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
0|2021-11-03|4896.0|0|460.0|0|8.588498879761016|0|5356.0|0
