|dates|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Jefferson_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|69122.0|0|69122.0|0|1150.0|0|0.0|100
0|2021-10-18|69187.0|0|69187.0|0|1151.0|0|0.0|100
0|2021-10-19|69218.0|0|69218.0|0|1154.0|0|0.0|100
0|2021-10-20|69255.0|0|69255.0|0|1156.0|0|0.0|100
0|2021-10-21|69295.0|0|69295.0|0|1156.0|0|0.0|100
0|2021-10-22|69330.0|0|69330.0|0|1158.0|0|0.0|100
0|2021-10-23|69330.0|0|69330.0|0|1158.0|0|0.0|100
0|2021-10-24|69330.0|0|69330.0|0|1158.0|0|0.0|100
0|2021-10-25|69406.0|0|69406.0|0|1160.0|0|0.0|100
0|2021-10-26|69429.0|0|69429.0|0|1162.0|0|0.0|100
0|2021-10-27|69468.0|0|69468.0|0|1162.0|0|0.0|100
0|2021-10-28|69492.0|0|69492.0|0|1162.0|0|0.0|100
0|2021-10-29|69518.0|0|69518.0|0|1167.0|0|0.0|100
0|2021-10-30|69518.0|0|69518.0|0|1167.0|0|0.0|100
0|2021-10-31|69518.0|0|69518.0|0|1167.0|0|0.0|100
0|2021-11-01|69576.0|0|69576.0|0|1167.0|0|0.0|100
0|2021-11-02|69593.0|0|69593.0|0|1169.0|0|0.0|100
0|2021-11-03|69621.0|0|69621.0|0|1172.0|0|0.0|100
0|2021-11-04|69660.0|0|69660.0|0|1173.0|0|0.0|100
0|2021-11-05|69813.0|0|69813.0|0|1175.0|0|0.0|100
0|2021-11-06|69813.0|0|69813.0|0|1175.0|0|0.0|100
0|2021-11-07|69813.0|0|69813.0|0|1175.0|0|0.0|100
0|2021-11-08|69876.0|0|69876.0|0|1176.0|0|0.0|100
0|2021-11-09|69897.0|0|69897.0|0|1175.0|0|0.0|100
0|2021-11-10|69897.0|0|69915.0|0|1175.0|0|0.0|100
0|2021-11-11|69915.0|0|69915.0|0|1176.0|0|0.0|100
0|2021-11-12|69968.0|0|69968.0|0|1177.0|0|0.0|100
0|2021-11-13|69968.0|0|69968.0|0|1177.0|0|0.0|100
0|2021-11-14|69968.0|0|69968.0|0|1177.0|0|0.0|100
0|2021-11-15|70040.0|0|70040.0|0|1177.0|0|0.0|100
0|2021-11-16|70067.0|0|70067.0|0|1177.0|0|0.0|100
0|2021-11-17|70092.0|0|70092.0|0|1179.0|0|0.0|100
0|2021-11-18|70127.0|0|70127.0|0|1180.0|0|0.0|100
0|2021-11-19|70155.0|0|70155.0|0|1180.0|0|0.0|100
0|2021-11-20|70155.0|0|70155.0|0|1180.0|0|0.0|100
0|2021-11-21|70155.0|0|70155.0|0|1180.0|0|0.0|100
0|2021-11-22|70208.0|0|70208.0|0|1180.0|0|0.0|100
0|2021-11-23|70233.0|0|70233.0|0|1180.0|0|0.0|100
0|2021-11-24|70252.0|0|70252.0|0|1180.0|0|0.0|100
0|2021-11-25|70252.0|0|70252.0|0|1180.0|0|0.0|100
0|2021-11-26|70252.0|0|70252.0|0|1180.0|0|0.0|100
0|2021-11-27|70252.0|0|70252.0|0|1180.0|0|0.0|100
0|2021-11-28|70252.0|0|70252.0|0|1180.0|0|0.0|100
0|2021-11-29|70320.0|0|70320.0|0|1180.0|0|0.0|100
0|2021-11-30|70373.0|0|70373.0|0|1180.0|0|0.0|100
0|2021-12-01|70427.0|0|70427.0|0|1177.0|0|0.0|100
