|dates|Door_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Door_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Door_Wisconsin_UnitedStates.Male_Total_Population.data|Door_Wisconsin_UnitedStates.Male_Total_Population.missing|Door_Wisconsin_UnitedStates.Female_Total_Population.data|Door_Wisconsin_UnitedStates.Female_Total_Population.missing|Door_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Door_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-18|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-19|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-20|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-21|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-22|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-23|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-24|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-25|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-26|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-27|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-28|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-29|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-30|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-10-31|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-01|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-02|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-03|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-04|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-05|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-06|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-07|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-08|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-09|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-10|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-11|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-12|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-13|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-14|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-15|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-16|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-17|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-18|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-19|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-20|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-21|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-22|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-23|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-24|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-25|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-26|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-27|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-28|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-29|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-11-30|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-01|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-02|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-03|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-04|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-05|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-06|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-07|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-08|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-09|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-10|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-11|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-12|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-13|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-14|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-15|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-16|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-17|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-18|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-19|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-20|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-21|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-22|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-23|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-24|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-25|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-26|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-27|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-28|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-29|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-30|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2021-12-31|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2022-01-01|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2022-01-02|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2022-01-03|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2022-01-04|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2022-01-05|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2022-01-06|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2022-01-07|8215.0|0|13625.0|0|13985.0|0|4489.0|0
0|2022-01-08|8215.0|0|13625.0|0|13985.0|0|4489.0|0
