|dates|Montgomery_Virginia_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Virginia_UnitedStates.NYT_ConfirmedCases.data|Montgomery_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Montgomery_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11577.0|0|11577.0|0|100.0|0|0.0|100
0|2021-10-18|11619.0|0|11619.0|0|104.0|0|0.0|100
0|2021-10-19|11640.0|0|11640.0|0|104.0|0|0.0|100
0|2021-10-20|11643.0|0|11643.0|0|104.0|0|0.0|100
0|2021-10-21|11669.0|0|11669.0|0|104.0|0|0.0|100
0|2021-10-22|11683.0|0|11683.0|0|105.0|0|0.0|100
0|2021-10-23|11683.0|0|11683.0|0|105.0|0|0.0|100
0|2021-10-24|11683.0|0|11683.0|0|105.0|0|0.0|100
0|2021-10-25|11713.0|0|11713.0|0|107.0|0|0.0|100
0|2021-10-26|11727.0|0|11727.0|0|107.0|0|0.0|100
0|2021-10-27|11740.0|0|11740.0|0|107.0|0|0.0|100
0|2021-10-28|11762.0|0|11762.0|0|107.0|0|0.0|100
0|2021-10-29|11781.0|0|11781.0|0|109.0|0|0.0|100
0|2021-10-30|11781.0|0|11781.0|0|109.0|0|0.0|100
0|2021-10-31|11781.0|0|11781.0|0|109.0|0|0.0|100
0|2021-11-01|11825.0|0|11825.0|0|110.0|0|0.0|100
0|2021-11-02|11830.0|0|11830.0|0|110.0|0|0.0|100
0|2021-11-03|11839.0|0|11839.0|0|110.0|0|0.0|100
0|2021-11-04|11847.0|0|11847.0|0|110.0|0|0.0|100
0|2021-11-05|11860.0|0|11860.0|0|110.0|0|0.0|100
0|2021-11-06|11860.0|0|11860.0|0|110.0|0|0.0|100
0|2021-11-07|11860.0|0|11860.0|0|110.0|0|0.0|100
0|2021-11-08|11900.0|0|11900.0|0|110.0|0|0.0|100
0|2021-11-09|11901.0|0|11901.0|0|110.0|0|0.0|100
