|dates|LasMarias_PuertoRico_UnitedStates.BLS_EmployedPopulation.data|LasMarias_PuertoRico_UnitedStates.BLS_EmployedPopulation.missing|LasMarias_PuertoRico_UnitedStates.BLS_UnemployedPopulation.data|LasMarias_PuertoRico_UnitedStates.BLS_UnemployedPopulation.missing|LasMarias_PuertoRico_UnitedStates.BLS_UnemploymentRate.data|LasMarias_PuertoRico_UnitedStates.BLS_UnemploymentRate.missing|LasMarias_PuertoRico_UnitedStates.BLS_LaborForcePopulation.data|LasMarias_PuertoRico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-02|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-03|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-04|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-05|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-06|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-07|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-08|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-09|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-10|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-11|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-12|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-13|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-14|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-15|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-16|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-17|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
0|2020-01-18|2141.5|0|392.0|0|15.472666271955793|0|2533.5|0
