|dates|St.Louis_Missouri_UnitedStates.JHU_ConfirmedCases.data|St.Louis_Missouri_UnitedStates.JHU_ConfirmedCases.missing|St.Louis_Missouri_UnitedStates.NYT_ConfirmedCases.data|St.Louis_Missouri_UnitedStates.NYT_ConfirmedCases.missing|St.Louis_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|St.Louis_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|St.Louis_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|St.Louis_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|159084.0|0|127979.0|0|3125.0|0|0.0|100
0|2021-10-18|159181.0|0|128042.0|0|3125.0|0|0.0|100
0|2021-10-19|159327.0|0|128188.0|0|3133.0|0|0.0|100
0|2021-10-20|159506.0|0|128341.0|0|3136.0|0|0.0|100
0|2021-10-21|159790.0|0|128583.0|0|3138.0|0|0.0|100
0|2021-10-22|159932.0|0|128725.0|0|3141.0|0|0.0|100
0|2021-10-23|160128.0|0|128895.0|0|3142.0|0|0.0|100
0|2021-10-24|160193.0|0|128960.0|0|3142.0|0|0.0|100
0|2021-10-25|160342.0|0|129041.0|0|3142.0|0|0.0|100
0|2021-10-26|160472.0|0|129171.0|0|3144.0|0|0.0|100
0|2021-10-27|160654.0|0|129317.0|0|3152.0|0|0.0|100
0|2021-10-28|160868.0|0|129476.0|0|3154.0|0|0.0|100
0|2021-10-29|161002.0|0|129610.0|0|3154.0|0|0.0|100
0|2021-10-30|161167.0|0|129736.0|0|3156.0|0|0.0|100
0|2021-10-31|161347.0|0|129855.0|0|3160.0|0|0.0|100
0|2021-11-01|161421.0|0|129929.0|0|3160.0|0|0.0|100
0|2021-11-02|161617.0|0|130072.0|0|3162.0|0|0.0|100
0|2021-11-03|161784.0|0|130239.0|0|3162.0|0|0.0|100
0|2021-11-04|162011.0|0|130399.0|0|3164.0|0|0.0|100
0|2021-11-05|162151.0|0|130539.0|0|3167.0|0|0.0|100
0|2021-11-06|162398.0|0|130726.0|0|3167.0|0|0.0|100
0|2021-11-07|162539.0|0|130838.0|0|3167.0|0|0.0|100
0|2021-11-08|162689.0|0|130946.0|0|3167.0|0|0.0|100
0|2021-11-09|163033.0|0|131214.0|0|3169.0|0|0.0|100
0|2021-11-10|163033.0|0|131492.0|0|3169.0|0|0.0|100
0|2021-11-11|163410.0|0|131492.0|0|3200.0|0|0.0|100
0|2021-11-12|163948.0|0|131982.0|0|3206.0|0|0.0|100
0|2021-11-13|164191.0|0|132225.0|0|3206.0|0|0.0|100
0|2021-11-14|164384.0|0|132329.0|0|3206.0|0|0.0|100
0|2021-11-15|164485.0|0|132430.0|0|3206.0|0|0.0|100
0|2021-11-16|164797.0|0|132646.0|0|3206.0|0|0.0|100
0|2021-11-17|165021.0|0|132798.0|0|3206.0|0|0.0|100
0|2021-11-18|165407.0|0|133184.0|0|3206.0|0|0.0|100
0|2021-11-19|165700.0|0|133395.0|0|3211.0|0|0.0|100
0|2021-11-20|165737.0|0|133395.0|0|3213.0|0|0.0|100
