|dates|Sullivan_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sullivan_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sullivan_Tennessee_UnitedStates.Male_Total_Population.data|Sullivan_Tennessee_UnitedStates.Male_Total_Population.missing|Sullivan_Tennessee_UnitedStates.Female_Total_Population.data|Sullivan_Tennessee_UnitedStates.Female_Total_Population.missing|Sullivan_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Sullivan_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-18|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-19|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-20|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-21|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-22|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-23|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-24|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-25|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-26|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-27|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-28|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-29|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-30|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-10-31|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-11-01|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-11-02|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-11-03|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-11-04|34529.0|0|76687.0|0|80981.0|0|30362.0|0
0|2021-11-05|34529.0|0|76687.0|0|80981.0|0|30362.0|0
