|dates|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedCases.data|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Lumpkin_Georgia_UnitedStates.NYT_ConfirmedCases.data|Lumpkin_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Lumpkin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4732.0|0|4801.0|0|97.0|0|0.0|100
0|2021-10-18|4736.0|0|4808.0|0|98.0|0|0.0|100
0|2021-10-19|4739.0|0|4811.0|0|99.0|0|0.0|100
0|2021-10-20|4743.0|0|4815.0|0|99.0|0|0.0|100
0|2021-10-21|4749.0|0|4821.0|0|101.0|0|0.0|100
0|2021-10-22|4755.0|0|4827.0|0|102.0|0|0.0|100
0|2021-10-23|4755.0|0|4827.0|0|102.0|0|0.0|100
0|2021-10-24|4755.0|0|4827.0|0|102.0|0|0.0|100
0|2021-10-25|4759.0|0|4831.0|0|103.0|0|0.0|100
0|2021-10-26|4759.0|0|4831.0|0|103.0|0|0.0|100
0|2021-10-27|4760.0|0|4832.0|0|105.0|0|0.0|100
0|2021-10-28|4763.0|0|4835.0|0|105.0|0|0.0|100
0|2021-10-29|4764.0|0|4836.0|0|106.0|0|0.0|100
0|2021-10-30|4764.0|0|4836.0|0|106.0|0|0.0|100
0|2021-10-31|4764.0|0|4836.0|0|106.0|0|0.0|100
0|2021-11-01|4766.0|0|4838.0|0|107.0|0|0.0|100
0|2021-11-02|4770.0|0|4842.0|0|107.0|0|0.0|100
0|2021-11-03|4772.0|0|4844.0|0|107.0|0|0.0|100
0|2021-11-04|4775.0|0|4847.0|0|107.0|0|0.0|100
0|2021-11-05|4776.0|0|4848.0|0|107.0|0|0.0|100
0|2021-11-06|4776.0|0|4848.0|0|107.0|0|0.0|100
0|2021-11-07|4776.0|0|4848.0|0|107.0|0|0.0|100
0|2021-11-08|4776.0|0|4849.0|0|107.0|0|0.0|100
0|2021-11-09|4784.0|0|4857.0|0|107.0|0|0.0|100
0|2021-11-10|4784.0|0|4859.0|0|107.0|0|0.0|100
0|2021-11-11|4786.0|0|4859.0|0|107.0|0|0.0|100
0|2021-11-12|4789.0|0|4862.0|0|108.0|0|0.0|100
0|2021-11-13|4789.0|0|4862.0|0|108.0|0|0.0|100
0|2021-11-14|4789.0|0|4862.0|0|108.0|0|0.0|100
0|2021-11-15|4795.0|0|4868.0|0|108.0|0|0.0|100
0|2021-11-16|4802.0|0|4875.0|0|109.0|0|0.0|100
0|2021-11-17|4813.0|0|4886.0|0|109.0|0|0.0|100
0|2021-11-18|4819.0|0|4892.0|0|109.0|0|0.0|100
0|2021-11-19|4824.0|0|4897.0|0|109.0|0|0.0|100
0|2021-11-20|4824.0|0|4897.0|0|109.0|0|0.0|100
0|2021-11-21|4824.0|0|4897.0|0|109.0|0|0.0|100
