|dates|Hoke_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Hoke_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Hoke_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Hoke_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Hoke_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Hoke_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Hoke_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Hoke_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7003.0|0|7003.0|0|78.0|0|0.0|100
0|2021-10-18|7024.0|0|7024.0|0|78.0|0|0.0|100
0|2021-10-19|7030.0|0|7030.0|0|79.0|0|0.0|100
0|2021-10-20|7045.0|0|7045.0|0|80.0|0|0.0|100
0|2021-10-21|7063.0|0|7063.0|0|81.0|0|0.0|100
0|2021-10-22|7080.0|0|7080.0|0|81.0|0|0.0|100
0|2021-10-23|7080.0|0|7080.0|0|81.0|0|0.0|100
0|2021-10-24|7080.0|0|7080.0|0|81.0|0|0.0|100
0|2021-10-25|7105.0|0|7105.0|0|82.0|0|0.0|100
0|2021-10-26|7110.0|0|7110.0|0|82.0|0|0.0|100
0|2021-10-27|7122.0|0|7122.0|0|82.0|0|0.0|100
0|2021-10-28|7133.0|0|7133.0|0|83.0|0|0.0|100
0|2021-10-29|7143.0|0|7143.0|0|83.0|0|0.0|100
0|2021-10-30|7143.0|0|7143.0|0|83.0|0|0.0|100
0|2021-10-31|7143.0|0|7143.0|0|83.0|0|0.0|100
0|2021-11-01|7161.0|0|7161.0|0|83.0|0|0.0|100
0|2021-11-02|7164.0|0|7164.0|0|83.0|0|0.0|100
0|2021-11-03|7172.0|0|7172.0|0|83.0|0|0.0|100
0|2021-11-04|7179.0|0|7179.0|0|83.0|0|0.0|100
0|2021-11-05|7191.0|0|7191.0|0|83.0|0|0.0|100
0|2021-11-06|7191.0|0|7191.0|0|83.0|0|0.0|100
0|2021-11-07|7191.0|0|7191.0|0|83.0|0|0.0|100
0|2021-11-08|7216.0|0|7216.0|0|84.0|0|0.0|100
0|2021-11-09|7227.0|0|7227.0|0|85.0|0|0.0|100
0|2021-11-10|7240.0|0|7240.0|0|85.0|0|0.0|100
0|2021-11-11|7240.0|0|7240.0|0|85.0|0|0.0|100
0|2021-11-12|7263.0|0|7263.0|0|86.0|0|0.0|100
0|2021-11-13|7263.0|0|7263.0|0|86.0|0|0.0|100
0|2021-11-14|7263.0|0|7263.0|0|86.0|0|0.0|100
0|2021-11-15|7298.0|0|7298.0|0|86.0|0|0.0|100
0|2021-11-16|7312.0|0|7312.0|0|86.0|0|0.0|100
