|dates|Greene_NewYork_UnitedStates.JHU_ConfirmedCases.data|Greene_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Greene_NewYork_UnitedStates.NYT_ConfirmedCases.data|Greene_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Greene_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Greene_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4342.0|0|4342.0|0|86.0|0|0.0|100
0|2021-10-18|4351.0|0|4351.0|0|86.0|0|0.0|100
0|2021-10-19|4353.0|0|4353.0|0|86.0|0|0.0|100
0|2021-10-20|4371.0|0|4371.0|0|86.0|0|0.0|100
0|2021-10-21|4385.0|0|4385.0|0|86.0|0|0.0|100
0|2021-10-22|4401.0|0|4401.0|0|86.0|0|0.0|100
0|2021-10-23|4410.0|0|4410.0|0|87.0|0|0.0|100
0|2021-10-24|4420.0|0|4420.0|0|87.0|0|0.0|100
0|2021-10-25|4425.0|0|4425.0|0|87.0|0|0.0|100
0|2021-10-26|4434.0|0|4434.0|0|87.0|0|0.0|100
0|2021-10-27|4448.0|0|4448.0|0|87.0|0|0.0|100
0|2021-10-28|4460.0|0|4460.0|0|87.0|0|0.0|100
0|2021-10-29|4483.0|0|4483.0|0|87.0|0|0.0|100
0|2021-10-30|4492.0|0|4492.0|0|87.0|0|0.0|100
0|2021-10-31|4501.0|0|4501.0|0|87.0|0|0.0|100
0|2021-11-01|4506.0|0|4506.0|0|87.0|0|0.0|100
0|2021-11-02|4515.0|0|4515.0|0|87.0|0|0.0|100
0|2021-11-03|4526.0|0|4526.0|0|87.0|0|0.0|100
0|2021-11-04|4540.0|0|4540.0|0|87.0|0|0.0|100
0|2021-11-05|4560.0|0|4560.0|0|87.0|0|0.0|100
0|2021-11-06|4582.0|0|4582.0|0|87.0|0|0.0|100
0|2021-11-07|4586.0|0|4586.0|0|87.0|0|0.0|100
0|2021-11-08|4593.0|0|4593.0|0|87.0|0|0.0|100
0|2021-11-09|4600.0|0|4600.0|0|87.0|0|0.0|100
0|2021-11-10|4600.0|0|4613.0|0|87.0|0|0.0|100
0|2021-11-11|4629.0|0|4629.0|0|87.0|0|0.0|100
0|2021-11-12|4639.0|0|4639.0|0|87.0|0|0.0|100
0|2021-11-13|4647.0|0|4647.0|0|87.0|0|0.0|100
0|2021-11-14|4654.0|0|4654.0|0|87.0|0|0.0|100
0|2021-11-15|4665.0|0|4665.0|0|87.0|0|0.0|100
0|2021-11-16|4677.0|0|4677.0|0|87.0|0|0.0|100
0|2021-11-17|4691.0|0|4691.0|0|87.0|0|0.0|100
0|2021-11-18|4717.0|0|4717.0|0|87.0|0|0.0|100
0|2021-11-19|4741.0|0|4741.0|0|87.0|0|0.0|100
0|2021-11-20|4762.0|0|4762.0|0|87.0|0|0.0|100
0|2021-11-21|4774.0|0|4774.0|0|87.0|0|0.0|100
0|2021-11-22|4787.0|0|4787.0|0|88.0|0|0.0|100
0|2021-11-23|4818.0|0|4818.0|0|88.0|0|0.0|100
0|2021-11-24|4838.0|0|4838.0|0|88.0|0|0.0|100
0|2021-11-25|4861.0|0|4861.0|0|88.0|0|0.0|100
0|2021-11-26|4877.0|0|4877.0|0|88.0|0|0.0|100
0|2021-11-27|4891.0|0|4891.0|0|89.0|0|0.0|100
0|2021-11-28|4911.0|0|4911.0|0|89.0|0|0.0|100
0|2021-11-29|4917.0|0|4917.0|0|89.0|0|0.0|100
0|2021-11-30|4931.0|0|4931.0|0|89.0|0|0.0|100
0|2021-12-01|4962.0|0|4962.0|0|89.0|0|0.0|100
0|2021-12-02|5001.0|0|5001.0|0|90.0|0|0.0|100
0|2021-12-03|5001.0|0|5058.0|0|90.0|0|0.0|100
0|2021-12-04|5078.0|0|5078.0|0|90.0|0|0.0|100
0|2021-12-05|5113.0|0|5113.0|0|90.0|0|0.0|100
0|2021-12-06|5125.0|0|5125.0|0|91.0|0|0.0|100
0|2021-12-07|5143.0|0|5143.0|0|91.0|0|0.0|100
0|2021-12-08|5172.0|0|5172.0|0|91.0|0|0.0|100
0|2021-12-09|5212.0|0|5212.0|0|91.0|0|0.0|100
0|2021-12-10|5244.0|0|5244.0|0|91.0|0|0.0|100
0|2021-12-11|5265.0|0|5265.0|0|92.0|0|0.0|100
0|2021-12-12|5278.0|0|5278.0|0|92.0|0|0.0|100
0|2021-12-13|5297.0|0|5297.0|0|92.0|0|0.0|100
0|2021-12-14|5297.0|0|5322.0|0|92.0|0|0.0|100
0|2021-12-15|5356.0|0|5356.0|0|93.0|0|0.0|100
0|2021-12-16|5384.0|0|5384.0|0|94.0|0|0.0|100
0|2021-12-17|5428.0|0|5428.0|0|94.0|0|0.0|100
0|2021-12-18|5510.0|0|5510.0|0|94.0|0|0.0|100
0|2021-12-19|5548.0|0|5548.0|0|94.0|0|0.0|100
0|2021-12-20|5561.0|0|5561.0|0|94.0|0|0.0|100
0|2021-12-21|5580.0|0|5580.0|0|94.0|0|0.0|100
0|2021-12-22|5632.0|0|5632.0|0|94.0|0|0.0|100
0|2021-12-23|5694.0|0|5694.0|0|94.0|0|0.0|100
0|2021-12-24|5766.0|0|5766.0|0|95.0|0|0.0|100
0|2021-12-25|5766.0|0|5766.0|0|95.0|0|0.0|100
0|2021-12-26|5831.0|0|5831.0|0|95.0|0|0.0|100
0|2021-12-27|5840.0|0|5840.0|0|95.0|0|0.0|100
0|2021-12-28|5875.0|0|5875.0|0|95.0|0|0.0|100
0|2021-12-29|5940.0|0|5940.0|0|96.0|0|0.0|100
0|2021-12-30|6031.0|0|6031.0|0|97.0|0|0.0|100
0|2021-12-31|6158.0|0|6158.0|0|97.0|0|0.0|100
