|dates|Stanly_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Stanly_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Stanly_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Stanly_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Stanly_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Stanly_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Stanly_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Stanly_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11421.0|0|11421.0|0|179.0|0|0.0|100
0|2021-10-18|11476.0|0|11476.0|0|179.0|0|0.0|100
0|2021-10-19|11488.0|0|11488.0|0|179.0|0|0.0|100
0|2021-10-20|11498.0|0|11498.0|0|180.0|0|0.0|100
0|2021-10-21|11531.0|0|11531.0|0|180.0|0|0.0|100
0|2021-10-22|11546.0|0|11546.0|0|184.0|0|0.0|100
0|2021-10-23|11546.0|0|11546.0|0|184.0|0|0.0|100
0|2021-10-24|11546.0|0|11546.0|0|184.0|0|0.0|100
0|2021-10-25|11586.0|0|11586.0|0|189.0|0|0.0|100
0|2021-10-26|11594.0|0|11594.0|0|191.0|0|0.0|100
0|2021-10-27|11601.0|0|11601.0|0|191.0|0|0.0|100
0|2021-10-28|11623.0|0|11623.0|0|191.0|0|0.0|100
0|2021-10-29|11652.0|0|11652.0|0|191.0|0|0.0|100
0|2021-10-30|11652.0|0|11652.0|0|191.0|0|0.0|100
0|2021-10-31|11652.0|0|11652.0|0|191.0|0|0.0|100
0|2021-11-01|11689.0|0|11689.0|0|191.0|0|0.0|100
0|2021-11-02|11706.0|0|11706.0|0|191.0|0|0.0|100
0|2021-11-03|11728.0|0|11728.0|0|191.0|0|0.0|100
0|2021-11-04|11742.0|0|11742.0|0|191.0|0|0.0|100
0|2021-11-05|11752.0|0|11752.0|0|191.0|0|0.0|100
0|2021-11-06|11752.0|0|11752.0|0|191.0|0|0.0|100
0|2021-11-07|11752.0|0|11752.0|0|191.0|0|0.0|100
0|2021-11-08|11797.0|0|11797.0|0|191.0|0|0.0|100
0|2021-11-09|11818.0|0|11818.0|0|191.0|0|0.0|100
0|2021-11-10|11832.0|0|11832.0|0|191.0|0|0.0|100
0|2021-11-11|11832.0|0|11832.0|0|191.0|0|0.0|100
0|2021-11-12|11875.0|0|11875.0|0|191.0|0|0.0|100
0|2021-11-13|11875.0|0|11875.0|0|191.0|0|0.0|100
0|2021-11-14|11875.0|0|11875.0|0|191.0|0|0.0|100
0|2021-11-15|11918.0|0|11918.0|0|191.0|0|0.0|100
0|2021-11-16|11932.0|0|11932.0|0|191.0|0|0.0|100
0|2021-11-17|11956.0|0|11956.0|0|191.0|0|0.0|100
0|2021-11-18|11992.0|0|11992.0|0|198.0|0|0.0|100
0|2021-11-19|12011.0|0|12011.0|0|198.0|0|0.0|100
