|dates|Pinal_Arizona_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pinal_Arizona_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pinal_Arizona_UnitedStates.Male_Total_Population.data|Pinal_Arizona_UnitedStates.Male_Total_Population.missing|Pinal_Arizona_UnitedStates.Female_Total_Population.data|Pinal_Arizona_UnitedStates.Female_Total_Population.missing|Pinal_Arizona_UnitedStates.MaleAndFemale_Under18_Population.data|Pinal_Arizona_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-18|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-19|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-20|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-21|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-22|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-23|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-24|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-25|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-26|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-27|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-28|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-29|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-30|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-10-31|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-01|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-02|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-03|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-04|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-05|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-06|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-07|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-08|91129.0|0|232917.0|0|214221.0|0|100778.0|0
0|2021-11-09|91129.0|0|232917.0|0|214221.0|0|100778.0|0
