|dates|Sioux_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sioux_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sioux_NorthDakota_UnitedStates.Male_Total_Population.data|Sioux_NorthDakota_UnitedStates.Male_Total_Population.missing|Sioux_NorthDakota_UnitedStates.Female_Total_Population.data|Sioux_NorthDakota_UnitedStates.Female_Total_Population.missing|Sioux_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Sioux_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-18|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-19|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-20|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-21|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-22|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-23|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-24|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-25|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-26|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-27|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-28|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-29|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-30|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-10-31|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-01|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-02|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-03|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-04|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-05|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-06|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-07|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-08|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-09|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-10|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-11|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-12|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-13|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-14|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-15|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-16|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-17|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-18|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-19|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-20|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-21|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-22|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-23|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-24|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-25|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-26|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-27|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-28|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-29|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-11-30|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-01|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-02|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-03|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-04|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-05|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-06|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-07|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-08|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-09|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-10|353.0|0|2173.0|0|2185.0|0|1553.0|0
0|2021-12-11|353.0|0|2173.0|0|2185.0|0|1553.0|0
