|dates|Preble_Ohio_UnitedStates.JHU_ConfirmedCases.data|Preble_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Preble_Ohio_UnitedStates.NYT_ConfirmedCases.data|Preble_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Preble_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Preble_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Preble_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Preble_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5648.0|0|5648.0|0|129.0|0|0.0|100
0|2021-10-18|5660.0|0|5660.0|0|131.0|0|0.0|100
0|2021-10-19|5668.0|0|5668.0|0|131.0|0|0.0|100
0|2021-10-20|5686.0|0|5686.0|0|131.0|0|0.0|100
0|2021-10-21|5692.0|0|5692.0|0|131.0|0|0.0|100
0|2021-10-22|5710.0|0|5710.0|0|131.0|0|0.0|100
0|2021-10-23|5720.0|0|5720.0|0|131.0|0|0.0|100
0|2021-10-24|5728.0|0|5728.0|0|131.0|0|0.0|100
0|2021-10-25|5730.0|0|5730.0|0|131.0|0|0.0|100
0|2021-10-26|5750.0|0|5750.0|0|132.0|0|0.0|100
0|2021-10-27|5759.0|0|5759.0|0|132.0|0|0.0|100
0|2021-10-28|5779.0|0|5779.0|0|132.0|0|0.0|100
0|2021-10-29|5784.0|0|5784.0|0|132.0|0|0.0|100
0|2021-10-30|5798.0|0|5798.0|0|132.0|0|0.0|100
0|2021-10-31|5804.0|0|5804.0|0|132.0|0|0.0|100
0|2021-11-01|5806.0|0|5806.0|0|132.0|0|0.0|100
0|2021-11-02|5815.0|0|5815.0|0|132.0|0|0.0|100
0|2021-11-03|5817.0|0|5817.0|0|132.0|0|0.0|100
0|2021-11-04|5830.0|0|5830.0|0|132.0|0|0.0|100
0|2021-11-05|5846.0|0|5846.0|0|132.0|0|0.0|100
0|2021-11-06|5859.0|0|5859.0|0|132.0|0|0.0|100
0|2021-11-07|5868.0|0|5868.0|0|132.0|0|0.0|100
0|2021-11-08|5877.0|0|5877.0|0|132.0|0|0.0|100
0|2021-11-09|5884.0|0|5884.0|0|133.0|0|0.0|100
0|2021-11-10|5884.0|0|5892.0|0|133.0|0|0.0|100
0|2021-11-11|5910.0|0|5910.0|0|133.0|0|0.0|100
0|2021-11-12|5930.0|0|5930.0|0|135.0|0|0.0|100
0|2021-11-13|5951.0|0|5951.0|0|135.0|0|0.0|100
0|2021-11-14|5964.0|0|5964.0|0|135.0|0|0.0|100
0|2021-11-15|5972.0|0|5972.0|0|135.0|0|0.0|100
0|2021-11-16|5990.0|0|5990.0|0|136.0|0|0.0|100
0|2021-11-17|6020.0|0|6020.0|0|136.0|0|0.0|100
0|2021-11-18|6039.0|0|6039.0|0|136.0|0|0.0|100
0|2021-11-19|6059.0|0|6059.0|0|137.0|0|0.0|100
0|2021-11-20|6071.0|0|6071.0|0|137.0|0|0.0|100
0|2021-11-21|6075.0|0|6075.0|0|137.0|0|0.0|100
0|2021-11-22|6086.0|0|6086.0|0|137.0|0|0.0|100
0|2021-11-23|6103.0|0|6103.0|0|138.0|0|0.0|100
0|2021-11-24|6131.0|0|6131.0|0|138.0|0|0.0|100
0|2021-11-25|6131.0|0|6131.0|0|138.0|0|0.0|100
0|2021-11-26|6147.0|0|6147.0|0|139.0|0|0.0|100
