|dates|Hartley_Texas_UnitedStates.JHU_ConfirmedCases.data|Hartley_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hartley_Texas_UnitedStates.NYT_ConfirmedCases.data|Hartley_Texas_UnitedStates.NYT_ConfirmedCases.missing|Hartley_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hartley_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hartley_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hartley_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|841.0|0|841.0|0|2.0|0|0.0|100
0|2021-10-18|841.0|0|841.0|0|2.0|0|0.0|100
0|2021-10-19|848.0|0|848.0|0|2.0|0|0.0|100
0|2021-10-20|848.0|0|848.0|0|2.0|0|0.0|100
0|2021-10-21|849.0|0|849.0|0|2.0|0|0.0|100
0|2021-10-22|849.0|0|849.0|0|2.0|0|0.0|100
0|2021-10-23|851.0|0|851.0|0|2.0|0|0.0|100
0|2021-10-24|851.0|0|851.0|0|2.0|0|0.0|100
0|2021-10-25|851.0|0|851.0|0|2.0|0|0.0|100
0|2021-10-26|857.0|0|857.0|0|2.0|0|0.0|100
0|2021-10-27|857.0|0|857.0|0|2.0|0|0.0|100
0|2021-10-28|857.0|0|857.0|0|2.0|0|0.0|100
0|2021-10-29|867.0|0|867.0|0|2.0|0|0.0|100
0|2021-10-30|867.0|0|867.0|0|2.0|0|0.0|100
0|2021-10-31|867.0|0|867.0|0|2.0|0|0.0|100
0|2021-11-01|867.0|0|867.0|0|2.0|0|0.0|100
0|2021-11-02|867.0|0|867.0|0|2.0|0|0.0|100
0|2021-11-03|867.0|0|867.0|0|2.0|0|0.0|100
0|2021-11-04|869.0|0|869.0|0|2.0|0|0.0|100
0|2021-11-05|870.0|0|870.0|0|2.0|0|0.0|100
0|2021-11-06|873.0|0|873.0|0|2.0|0|0.0|100
0|2021-11-07|873.0|0|873.0|0|2.0|0|0.0|100
0|2021-11-08|873.0|0|873.0|0|2.0|0|0.0|100
0|2021-11-09|885.0|0|885.0|0|2.0|0|0.0|100
0|2021-11-10|885.0|0|885.0|0|2.0|0|0.0|100
