|dates|Yuma_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Yuma_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Yuma_Arizona_UnitedStates.NYT_ConfirmedDeaths.data|Yuma_Arizona_UnitedStates.NYT_ConfirmedDeaths.missing|Yuma_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Yuma_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Yuma_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Yuma_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|897.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|897.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|903.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|903.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|903.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|903.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|903.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|903.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|903.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|908.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|908.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|908.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|909.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|909.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|909.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|909.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|909.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|911.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|911.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|912.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|914.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|914.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|914.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|918.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|918.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|919.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|920.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|921.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|921.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|921.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|923.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|922.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|922.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|923.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|923.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|923.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|923.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|925.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|926.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|926.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|926.0|0|0.0|100|0.0|100
0|2021-11-27|0.0|100|927.0|0|0.0|100|0.0|100
0|2021-11-28|0.0|100|927.0|0|0.0|100|0.0|100
0|2021-11-29|0.0|100|927.0|0|0.0|100|0.0|100
0|2021-11-30|0.0|100|927.0|0|0.0|100|0.0|100
0|2021-12-01|0.0|100|928.0|0|0.0|100|0.0|100
0|2021-12-02|0.0|100|930.0|0|0.0|100|0.0|100
0|2021-12-03|0.0|100|930.0|0|0.0|100|0.0|100
0|2021-12-04|0.0|100|935.0|0|0.0|100|0.0|100
0|2021-12-05|0.0|100|931.0|0|0.0|100|0.0|100
0|2021-12-06|0.0|100|931.0|0|0.0|100|0.0|100
0|2021-12-07|0.0|100|938.0|0|0.0|100|0.0|100
0|2021-12-08|0.0|100|938.0|0|0.0|100|0.0|100
0|2021-12-09|0.0|100|939.0|0|0.0|100|0.0|100
0|2021-12-10|0.0|100|941.0|0|0.0|100|0.0|100
0|2021-12-11|0.0|100|942.0|0|0.0|100|0.0|100
0|2021-12-12|0.0|100|942.0|0|0.0|100|0.0|100
0|2021-12-13|0.0|100|942.0|0|0.0|100|0.0|100
0|2021-12-14|0.0|100|945.0|0|0.0|100|0.0|100
0|2021-12-15|0.0|100|948.0|0|0.0|100|0.0|100
0|2021-12-16|0.0|100|949.0|0|0.0|100|0.0|100
0|2021-12-17|0.0|100|954.0|0|0.0|100|0.0|100
0|2021-12-18|0.0|100|954.0|0|0.0|100|0.0|100
0|2021-12-19|0.0|100|954.0|0|0.0|100|0.0|100
0|2021-12-20|0.0|100|954.0|0|0.0|100|0.0|100
0|2021-12-21|0.0|100|962.0|0|0.0|100|0.0|100
0|2021-12-22|0.0|100|964.0|0|0.0|100|0.0|100
0|2021-12-23|0.0|100|965.0|0|0.0|100|0.0|100
0|2021-12-24|0.0|100|966.0|0|0.0|100|0.0|100
0|2021-12-25|0.0|100|970.0|0|0.0|100|0.0|100
0|2021-12-26|0.0|100|969.0|0|0.0|100|0.0|100
0|2021-12-27|0.0|100|969.0|0|0.0|100|0.0|100
0|2021-12-28|0.0|100|979.0|0|0.0|100|0.0|100
