|dates|Butler_Ohio_UnitedStates.JHU_ConfirmedCases.data|Butler_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Butler_Ohio_UnitedStates.NYT_ConfirmedCases.data|Butler_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Butler_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|51008.0|0|51008.0|0|741.0|0|0.0|100
0|2021-10-18|51076.0|0|51076.0|0|745.0|0|0.0|100
0|2021-10-19|51168.0|0|51168.0|0|745.0|0|0.0|100
0|2021-10-20|51309.0|0|51309.0|0|746.0|0|0.0|100
0|2021-10-21|51383.0|0|51383.0|0|747.0|0|0.0|100
0|2021-10-22|51500.0|0|51500.0|0|748.0|0|0.0|100
0|2021-10-23|51580.0|0|51580.0|0|748.0|0|0.0|100
0|2021-10-24|51659.0|0|51659.0|0|748.0|0|0.0|100
0|2021-10-25|51696.0|0|51696.0|0|748.0|0|0.0|100
0|2021-10-26|51809.0|0|51809.0|0|749.0|0|0.0|100
0|2021-10-27|51893.0|0|51893.0|0|749.0|0|0.0|100
0|2021-10-28|52002.0|0|52002.0|0|750.0|0|0.0|100
0|2021-10-29|52114.0|0|52114.0|0|751.0|0|0.0|100
0|2021-10-30|52220.0|0|52220.0|0|751.0|0|0.0|100
0|2021-10-31|52295.0|0|52295.0|0|751.0|0|0.0|100
0|2021-11-01|52347.0|0|52347.0|0|751.0|0|0.0|100
0|2021-11-02|52483.0|0|52483.0|0|751.0|0|0.0|100
0|2021-11-03|52585.0|0|52585.0|0|751.0|0|0.0|100
0|2021-11-04|52698.0|0|52698.0|0|751.0|0|0.0|100
0|2021-11-05|52796.0|0|52796.0|0|751.0|0|0.0|100
0|2021-11-06|52879.0|0|52879.0|0|751.0|0|0.0|100
0|2021-11-07|53002.0|0|53002.0|0|751.0|0|0.0|100
0|2021-11-08|53041.0|0|53041.0|0|751.0|0|0.0|100
0|2021-11-09|53145.0|0|53145.0|0|758.0|0|0.0|100
0|2021-11-10|53292.0|0|53292.0|0|758.0|0|0.0|100
0|2021-11-11|53427.0|0|53427.0|0|758.0|0|0.0|100
0|2021-11-12|53564.0|0|53564.0|0|778.0|0|0.0|100
0|2021-11-13|53666.0|0|53666.0|0|778.0|0|0.0|100
0|2021-11-14|53773.0|0|53773.0|0|778.0|0|0.0|100
0|2021-11-15|53841.0|0|53841.0|0|778.0|0|0.0|100
0|2021-11-16|54022.0|0|54022.0|0|783.0|0|0.0|100
0|2021-11-17|54204.0|0|54204.0|0|783.0|0|0.0|100
0|2021-11-18|54354.0|0|54354.0|0|783.0|0|0.0|100
0|2021-11-19|54531.0|0|54531.0|0|794.0|0|0.0|100
0|2021-11-20|54693.0|0|54693.0|0|794.0|0|0.0|100
0|2021-11-21|54776.0|0|54776.0|0|794.0|0|0.0|100
0|2021-11-22|54887.0|0|54887.0|0|794.0|0|0.0|100
0|2021-11-23|55043.0|0|55043.0|0|794.0|0|0.0|100
