|dates|Clay_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Clay_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Clay_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Clay_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Clay_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3063.0|0|3063.0|0|75.0|0|0.0|100
0|2021-10-18|3067.0|0|3067.0|0|75.0|0|0.0|100
0|2021-10-19|3073.0|0|3073.0|0|76.0|0|0.0|100
0|2021-10-20|3076.0|0|3076.0|0|76.0|0|0.0|100
0|2021-10-21|3079.0|0|3079.0|0|76.0|0|0.0|100
0|2021-10-22|3080.0|0|3080.0|0|76.0|0|0.0|100
0|2021-10-23|3080.0|0|3080.0|0|76.0|0|0.0|100
0|2021-10-24|3080.0|0|3080.0|0|76.0|0|0.0|100
0|2021-10-25|3089.0|0|3089.0|0|77.0|0|0.0|100
0|2021-10-26|3090.0|0|3090.0|0|77.0|0|0.0|100
0|2021-10-27|3092.0|0|3092.0|0|77.0|0|0.0|100
0|2021-10-28|3093.0|0|3093.0|0|77.0|0|0.0|100
0|2021-10-29|3094.0|0|3094.0|0|77.0|0|0.0|100
0|2021-10-30|3094.0|0|3094.0|0|77.0|0|0.0|100
0|2021-10-31|3094.0|0|3094.0|0|77.0|0|0.0|100
0|2021-11-01|3097.0|0|3097.0|0|77.0|0|0.0|100
0|2021-11-02|3097.0|0|3097.0|0|77.0|0|0.0|100
0|2021-11-03|3097.0|0|3097.0|0|77.0|0|0.0|100
0|2021-11-04|3098.0|0|3098.0|0|77.0|0|0.0|100
0|2021-11-05|3099.0|0|3099.0|0|77.0|0|0.0|100
0|2021-11-06|3099.0|0|3099.0|0|77.0|0|0.0|100
0|2021-11-07|3099.0|0|3099.0|0|77.0|0|0.0|100
0|2021-11-08|3100.0|0|3100.0|0|77.0|0|0.0|100
0|2021-11-09|3100.0|0|3100.0|0|77.0|0|0.0|100
