|dates|Somerset_Maine_UnitedStates.JHU_ConfirmedCases.data|Somerset_Maine_UnitedStates.JHU_ConfirmedCases.missing|Somerset_Maine_UnitedStates.NYT_ConfirmedCases.data|Somerset_Maine_UnitedStates.NYT_ConfirmedCases.missing|Somerset_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Somerset_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Somerset_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Somerset_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4015.0|0|4015.0|0|44.0|0|0.0|100
0|2021-10-18|4015.0|0|4015.0|0|44.0|0|0.0|100
0|2021-10-19|4055.0|0|4055.0|0|45.0|0|0.0|100
0|2021-10-20|4112.0|0|4112.0|0|45.0|0|0.0|100
0|2021-10-21|4174.0|0|4174.0|0|45.0|0|0.0|100
0|2021-10-22|4212.0|0|4212.0|0|45.0|0|0.0|100
0|2021-10-23|4243.0|0|4243.0|0|45.0|0|0.0|100
0|2021-10-24|4243.0|0|4243.0|0|45.0|0|0.0|100
0|2021-10-25|4243.0|0|4243.0|0|45.0|0|0.0|100
0|2021-10-26|4318.0|0|4318.0|0|48.0|0|0.0|100
0|2021-10-27|4371.0|0|4371.0|0|50.0|0|0.0|100
0|2021-10-28|4409.0|0|4409.0|0|50.0|0|0.0|100
0|2021-10-29|4474.0|0|4474.0|0|50.0|0|0.0|100
0|2021-10-30|4510.0|0|4510.0|0|50.0|0|0.0|100
0|2021-10-31|4510.0|0|4510.0|0|50.0|0|0.0|100
0|2021-11-01|4510.0|0|4510.0|0|51.0|0|0.0|100
0|2021-11-02|4569.0|0|4569.0|0|51.0|0|0.0|100
0|2021-11-03|4594.0|0|4594.0|0|51.0|0|0.0|100
0|2021-11-04|4650.0|0|4650.0|0|51.0|0|0.0|100
0|2021-11-05|4702.0|0|4702.0|0|52.0|0|0.0|100
0|2021-11-06|4756.0|0|4756.0|0|52.0|0|0.0|100
0|2021-11-07|4756.0|0|4756.0|0|52.0|0|0.0|100
0|2021-11-08|4756.0|0|4756.0|0|52.0|0|0.0|100
0|2021-11-09|4812.0|0|4812.0|0|54.0|0|0.0|100
0|2021-11-10|4812.0|0|4890.0|0|54.0|0|0.0|100
0|2021-11-11|4938.0|0|4938.0|0|54.0|0|0.0|100
0|2021-11-12|4938.0|0|4938.0|0|54.0|0|0.0|100
0|2021-11-13|4969.0|0|4969.0|0|55.0|0|0.0|100
0|2021-11-14|4969.0|0|4969.0|0|55.0|0|0.0|100
0|2021-11-15|4969.0|0|4969.0|0|55.0|0|0.0|100
0|2021-11-16|5036.0|0|5036.0|0|56.0|0|0.0|100
0|2021-11-17|5041.0|0|5041.0|0|56.0|0|0.0|100
0|2021-11-18|5087.0|0|5087.0|0|56.0|0|0.0|100
0|2021-11-19|5146.0|0|5146.0|0|57.0|0|0.0|100
0|2021-11-20|5186.0|0|5186.0|0|57.0|0|0.0|100
0|2021-11-21|5186.0|0|5186.0|0|57.0|0|0.0|100
