|dates|Musselshell_Montana_UnitedStates.JHU_ConfirmedCases.data|Musselshell_Montana_UnitedStates.JHU_ConfirmedCases.missing|Musselshell_Montana_UnitedStates.NYT_ConfirmedCases.data|Musselshell_Montana_UnitedStates.NYT_ConfirmedCases.missing|Musselshell_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Musselshell_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Musselshell_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Musselshell_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|528.0|0|528.0|0|17.0|0|0.0|100
0|2021-10-18|529.0|0|529.0|0|17.0|0|0.0|100
0|2021-10-19|535.0|0|535.0|0|17.0|0|0.0|100
0|2021-10-20|535.0|0|535.0|0|17.0|0|0.0|100
0|2021-10-21|539.0|0|539.0|0|17.0|0|0.0|100
0|2021-10-22|544.0|0|544.0|0|17.0|0|0.0|100
0|2021-10-23|544.0|0|544.0|0|17.0|0|0.0|100
0|2021-10-24|544.0|0|544.0|0|17.0|0|0.0|100
0|2021-10-25|588.0|0|588.0|0|17.0|0|0.0|100
0|2021-10-26|595.0|0|595.0|0|17.0|0|0.0|100
0|2021-10-27|596.0|0|596.0|0|17.0|0|0.0|100
0|2021-10-28|599.0|0|599.0|0|17.0|0|0.0|100
0|2021-10-29|602.0|0|602.0|0|17.0|0|0.0|100
0|2021-10-30|602.0|0|602.0|0|17.0|0|0.0|100
0|2021-10-31|602.0|0|602.0|0|17.0|0|0.0|100
0|2021-11-01|630.0|0|630.0|0|18.0|0|0.0|100
0|2021-11-02|636.0|0|636.0|0|18.0|0|0.0|100
0|2021-11-03|638.0|0|638.0|0|18.0|0|0.0|100
0|2021-11-04|639.0|0|639.0|0|18.0|0|0.0|100
0|2021-11-05|646.0|0|646.0|0|18.0|0|0.0|100
0|2021-11-06|646.0|0|646.0|0|18.0|0|0.0|100
0|2021-11-07|646.0|0|646.0|0|18.0|0|0.0|100
0|2021-11-08|647.0|0|647.0|0|18.0|0|0.0|100
0|2021-11-09|660.0|0|660.0|0|18.0|0|0.0|100
0|2021-11-10|660.0|0|660.0|0|18.0|0|0.0|100
0|2021-11-11|660.0|0|660.0|0|18.0|0|0.0|100
0|2021-11-12|671.0|0|671.0|0|19.0|0|0.0|100
0|2021-11-13|671.0|0|671.0|0|19.0|0|0.0|100
0|2021-11-14|671.0|0|671.0|0|19.0|0|0.0|100
0|2021-11-15|670.0|0|670.0|0|19.0|0|0.0|100
0|2021-11-16|682.0|0|682.0|0|19.0|0|0.0|100
0|2021-11-17|682.0|0|682.0|0|20.0|0|0.0|100
0|2021-11-18|691.0|0|691.0|0|20.0|0|0.0|100
0|2021-11-19|691.0|0|691.0|0|20.0|0|0.0|100
0|2021-11-20|691.0|0|691.0|0|20.0|0|0.0|100
0|2021-11-21|691.0|0|691.0|0|20.0|0|0.0|100
0|2021-11-22|704.0|0|704.0|0|19.0|0|0.0|100
0|2021-11-23|711.0|0|711.0|0|22.0|0|0.0|100
0|2021-11-24|713.0|0|713.0|0|22.0|0|0.0|100
0|2021-11-25|713.0|0|713.0|0|22.0|0|0.0|100
0|2021-11-26|713.0|0|723.0|0|22.0|0|0.0|100
0|2021-11-27|723.0|0|723.0|0|22.0|0|0.0|100
0|2021-11-28|723.0|0|723.0|0|22.0|0|0.0|100
0|2021-11-29|723.0|0|723.0|0|22.0|0|0.0|100
0|2021-11-30|728.0|0|728.0|0|22.0|0|0.0|100
0|2021-12-01|733.0|0|733.0|0|22.0|0|0.0|100
0|2021-12-02|739.0|0|739.0|0|22.0|0|0.0|100
0|2021-12-03|743.0|0|743.0|0|22.0|0|0.0|100
0|2021-12-04|743.0|0|743.0|0|22.0|0|0.0|100
0|2021-12-05|743.0|0|743.0|0|22.0|0|0.0|100
0|2021-12-06|745.0|0|745.0|0|23.0|0|0.0|100
0|2021-12-07|750.0|0|750.0|0|23.0|0|0.0|100
0|2021-12-08|754.0|0|754.0|0|23.0|0|0.0|100
0|2021-12-09|757.0|0|757.0|0|23.0|0|0.0|100
0|2021-12-10|759.0|0|759.0|0|23.0|0|0.0|100
0|2021-12-11|759.0|0|759.0|0|23.0|0|0.0|100
0|2021-12-12|759.0|0|759.0|0|23.0|0|0.0|100
0|2021-12-13|759.0|0|759.0|0|25.0|0|0.0|100
0|2021-12-14|759.0|0|759.0|0|25.0|0|0.0|100
0|2021-12-15|761.0|0|761.0|0|25.0|0|0.0|100
0|2021-12-16|763.0|0|763.0|0|26.0|0|0.0|100
0|2021-12-17|763.0|0|763.0|0|26.0|0|0.0|100
0|2021-12-18|763.0|0|763.0|0|26.0|0|0.0|100
0|2021-12-19|763.0|0|763.0|0|26.0|0|0.0|100
0|2021-12-20|764.0|0|764.0|0|26.0|0|0.0|100
0|2021-12-21|765.0|0|765.0|0|26.0|0|0.0|100
0|2021-12-22|765.0|0|765.0|0|26.0|0|0.0|100
0|2021-12-23|766.0|0|766.0|0|26.0|0|0.0|100
0|2021-12-24|766.0|0|766.0|0|26.0|0|0.0|100
0|2021-12-25|766.0|0|766.0|0|26.0|0|0.0|100
0|2021-12-26|766.0|0|766.0|0|26.0|0|0.0|100
0|2021-12-27|766.0|0|766.0|0|26.0|0|0.0|100
0|2021-12-28|767.0|0|767.0|0|26.0|0|0.0|100
0|2021-12-29|767.0|0|767.0|0|26.0|0|0.0|100
0|2021-12-30|767.0|0|767.0|0|26.0|0|0.0|100
0|2021-12-31|767.0|0|767.0|0|26.0|0|0.0|100
0|2022-01-01|767.0|0|767.0|0|26.0|0|0.0|100
0|2022-01-02|767.0|0|767.0|0|26.0|0|0.0|100
0|2022-01-03|767.0|0|767.0|0|26.0|0|0.0|100
0|2022-01-04|771.0|0|771.0|0|26.0|0|0.0|100
0|2022-01-05|771.0|0|771.0|0|26.0|0|0.0|100
0|2022-01-06|776.0|0|776.0|0|26.0|0|0.0|100
0|2022-01-07|779.0|0|779.0|0|26.0|0|0.0|100
0|2022-01-08|779.0|0|779.0|0|26.0|0|0.0|100
0|2022-01-09|779.0|0|779.0|0|26.0|0|0.0|100
0|2022-01-10|786.0|0|786.0|0|26.0|0|0.0|100
0|2022-01-11|793.0|0|793.0|0|26.0|0|0.0|100
0|2022-01-12|793.0|0|793.0|0|26.0|0|0.0|100
0|2022-01-13|793.0|0|796.0|0|26.0|0|0.0|100
0|2022-01-14|796.0|0|796.0|0|26.0|0|0.0|100
0|2022-01-15|796.0|0|796.0|0|26.0|0|0.0|100
0|2022-01-16|796.0|0|796.0|0|26.0|0|0.0|100
0|2022-01-17|796.0|0|0.0|100|26.0|0|0.0|100
