|dates|Union_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Union_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Union_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Union_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Union_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Union_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Union_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Union_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|35655.0|0|35655.0|0|328.0|0|0.0|100
0|2021-10-18|35785.0|0|35785.0|0|329.0|0|0.0|100
0|2021-10-19|35826.0|0|35826.0|0|329.0|0|0.0|100
0|2021-10-20|35891.0|0|35891.0|0|331.0|0|0.0|100
0|2021-10-21|35964.0|0|35964.0|0|332.0|0|0.0|100
0|2021-10-22|36006.0|0|36006.0|0|334.0|0|0.0|100
0|2021-10-23|36006.0|0|36006.0|0|334.0|0|0.0|100
0|2021-10-24|36006.0|0|36006.0|0|334.0|0|0.0|100
0|2021-10-25|36180.0|0|36180.0|0|335.0|0|0.0|100
0|2021-10-26|36220.0|0|36220.0|0|335.0|0|0.0|100
0|2021-10-27|36270.0|0|36270.0|0|335.0|0|0.0|100
0|2021-10-28|36331.0|0|36331.0|0|335.0|0|0.0|100
0|2021-10-29|36383.0|0|36383.0|0|338.0|0|0.0|100
0|2021-10-30|36383.0|0|36383.0|0|338.0|0|0.0|100
0|2021-10-31|36383.0|0|36383.0|0|338.0|0|0.0|100
0|2021-11-01|36483.0|0|36483.0|0|339.0|0|0.0|100
0|2021-11-02|36515.0|0|36515.0|0|340.0|0|0.0|100
0|2021-11-03|36562.0|0|36562.0|0|344.0|0|0.0|100
0|2021-11-04|36615.0|0|36615.0|0|345.0|0|0.0|100
0|2021-11-05|36665.0|0|36665.0|0|346.0|0|0.0|100
0|2021-11-06|36665.0|0|36665.0|0|346.0|0|0.0|100
0|2021-11-07|36665.0|0|36665.0|0|346.0|0|0.0|100
0|2021-11-08|36773.0|0|36773.0|0|347.0|0|0.0|100
