|dates|Lyon_Kansas_UnitedStates.JHU_ConfirmedCases.data|Lyon_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Lyon_Kansas_UnitedStates.NYT_ConfirmedCases.data|Lyon_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Lyon_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Lyon_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Lyon_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Lyon_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5365.0|0|5365.0|0|91.0|0|0.0|100
0|2021-10-18|5387.0|0|5387.0|0|91.0|0|0.0|100
0|2021-10-19|5387.0|0|5387.0|0|91.0|0|0.0|100
0|2021-10-20|5401.0|0|5401.0|0|92.0|0|0.0|100
0|2021-10-21|5401.0|0|5401.0|0|92.0|0|0.0|100
0|2021-10-22|5426.0|0|5426.0|0|92.0|0|0.0|100
0|2021-10-23|5426.0|0|5426.0|0|92.0|0|0.0|100
0|2021-10-24|5426.0|0|5426.0|0|92.0|0|0.0|100
0|2021-10-25|5435.0|0|5435.0|0|92.0|0|0.0|100
0|2021-10-26|5435.0|0|5435.0|0|92.0|0|0.0|100
0|2021-10-27|5462.0|0|5462.0|0|92.0|0|0.0|100
0|2021-10-28|5462.0|0|5462.0|0|92.0|0|0.0|100
0|2021-10-29|5483.0|0|5483.0|0|92.0|0|0.0|100
0|2021-10-30|5483.0|0|5483.0|0|92.0|0|0.0|100
0|2021-10-31|5483.0|0|5483.0|0|92.0|0|0.0|100
0|2021-11-01|5490.0|0|5490.0|0|92.0|0|0.0|100
0|2021-11-02|5490.0|0|5490.0|0|92.0|0|0.0|100
0|2021-11-03|5523.0|0|5523.0|0|92.0|0|0.0|100
0|2021-11-04|5523.0|0|5523.0|0|92.0|0|0.0|100
0|2021-11-05|5553.0|0|5553.0|0|93.0|0|0.0|100
0|2021-11-06|5553.0|0|5553.0|0|93.0|0|0.0|100
0|2021-11-07|5553.0|0|5553.0|0|93.0|0|0.0|100
0|2021-11-08|5586.0|0|5586.0|0|93.0|0|0.0|100
