|dates|DistrictofColumbia_DistrictofColumbia_UnitedStates.JHU_ConfirmedCases.data|DistrictofColumbia_DistrictofColumbia_UnitedStates.JHU_ConfirmedCases.missing|DistrictofColumbia_DistrictofColumbia_UnitedStates.NYT_ConfirmedCases.data|DistrictofColumbia_DistrictofColumbia_UnitedStates.NYT_ConfirmedCases.missing|DistrictofColumbia_DistrictofColumbia_UnitedStates.JHU_ConfirmedDeaths.data|DistrictofColumbia_DistrictofColumbia_UnitedStates.JHU_ConfirmedDeaths.missing|DistrictofColumbia_DistrictofColumbia_UnitedStates.JHU_ConfirmedRecoveries.data|DistrictofColumbia_DistrictofColumbia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|62976.0|0|62976.0|0|1183.0|0|0.0|100
0|2021-10-18|63305.0|0|63305.0|0|1184.0|0|0.0|100
0|2021-10-19|63345.0|0|63345.0|0|1185.0|0|0.0|100
0|2021-10-20|63400.0|0|63400.0|0|1185.0|0|0.0|100
0|2021-10-21|63474.0|0|63474.0|0|1186.0|0|0.0|100
0|2021-10-22|63588.0|0|63588.0|0|1186.0|0|0.0|100
0|2021-10-23|63588.0|0|63588.0|0|1186.0|0|0.0|100
0|2021-10-24|63588.0|0|63588.0|0|1186.0|0|0.0|100
0|2021-10-25|63879.0|0|63879.0|0|1186.0|0|0.0|100
0|2021-10-26|63919.0|0|63919.0|0|1187.0|0|0.0|100
0|2021-10-27|63990.0|0|63990.0|0|1187.0|0|0.0|100
0|2021-10-28|64108.0|0|64108.0|0|1188.0|0|0.0|100
0|2021-10-29|64240.0|0|64240.0|0|1190.0|0|0.0|100
0|2021-10-30|64240.0|0|64240.0|0|1190.0|0|0.0|100
0|2021-10-31|64240.0|0|64240.0|0|1190.0|0|0.0|100
0|2021-11-01|64470.0|0|64470.0|0|1191.0|0|0.0|100
0|2021-11-02|64541.0|0|64541.0|0|1193.0|0|0.0|100
0|2021-11-03|64602.0|0|64602.0|0|1193.0|0|0.0|100
0|2021-11-04|64708.0|0|64708.0|0|1193.0|0|0.0|100
0|2021-11-05|64799.0|0|64799.0|0|1193.0|0|0.0|100
0|2021-11-06|64799.0|0|64799.0|0|1193.0|0|0.0|100
0|2021-11-07|64799.0|0|64799.0|0|1193.0|0|0.0|100
0|2021-11-08|65050.0|0|65050.0|0|1193.0|0|0.0|100
0|2021-11-09|65094.0|0|65094.0|0|1193.0|0|0.0|100
0|2021-11-10|65094.0|0|65159.0|0|1193.0|0|0.0|100
0|2021-11-11|65159.0|0|65159.0|0|1193.0|0|0.0|100
0|2021-11-12|65371.0|0|65371.0|0|1194.0|0|0.0|100
0|2021-11-13|65371.0|0|65371.0|0|1194.0|0|0.0|100
0|2021-11-14|65371.0|0|65371.0|0|1194.0|0|0.0|100
0|2021-11-15|65623.0|0|65623.0|0|1195.0|0|0.0|100
0|2021-11-16|65707.0|0|65707.0|0|1195.0|0|0.0|100
0|2021-11-17|65793.0|0|65793.0|0|1195.0|0|0.0|100
0|2021-11-18|65889.0|0|65889.0|0|1196.0|0|0.0|100
0|2021-11-19|66028.0|0|66028.0|0|1196.0|0|0.0|100
0|2021-11-20|66028.0|0|66028.0|0|1196.0|0|0.0|100
0|2021-11-21|66028.0|0|66028.0|0|1196.0|0|0.0|100
0|2021-11-22|66347.0|0|66347.0|0|1196.0|0|0.0|100
