|dates|Butte_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Butte_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Butte_California_UnitedStates.Male_Total_Population.data|Butte_California_UnitedStates.Male_Total_Population.missing|Butte_California_UnitedStates.Female_Total_Population.data|Butte_California_UnitedStates.Female_Total_Population.missing|Butte_California_UnitedStates.MaleAndFemale_Under18_Population.data|Butte_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-18|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-19|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-20|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-21|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-22|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-23|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-24|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-25|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-26|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-27|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-28|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-29|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-30|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-10-31|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-01|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-02|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-03|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-04|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-05|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-06|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-07|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-08|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-09|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-10|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-11|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-12|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-13|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-14|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-15|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-16|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-17|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-18|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-19|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-20|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-21|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-22|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-23|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-24|42992.0|0|114342.0|0|116914.0|0|46213.0|0
0|2021-11-25|42992.0|0|114342.0|0|116914.0|0|46213.0|0
