|dates|Atchison_Kansas_UnitedStates.JHU_ConfirmedCases.data|Atchison_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Atchison_Kansas_UnitedStates.NYT_ConfirmedCases.data|Atchison_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Atchison_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Atchison_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Atchison_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Atchison_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2336.0|0|2336.0|0|24.0|0|0.0|100
0|2021-10-18|2345.0|0|2345.0|0|24.0|0|0.0|100
0|2021-10-19|2345.0|0|2345.0|0|24.0|0|0.0|100
0|2021-10-20|2363.0|0|2363.0|0|24.0|0|0.0|100
0|2021-10-21|2363.0|0|2363.0|0|24.0|0|0.0|100
0|2021-10-22|2380.0|0|2380.0|0|24.0|0|0.0|100
0|2021-10-23|2380.0|0|2380.0|0|24.0|0|0.0|100
0|2021-10-24|2380.0|0|2380.0|0|24.0|0|0.0|100
0|2021-10-25|2395.0|0|2395.0|0|24.0|0|0.0|100
0|2021-10-26|2395.0|0|2395.0|0|24.0|0|0.0|100
0|2021-10-27|2413.0|0|2413.0|0|25.0|0|0.0|100
0|2021-10-28|2413.0|0|2413.0|0|25.0|0|0.0|100
0|2021-10-29|2422.0|0|2422.0|0|25.0|0|0.0|100
0|2021-10-30|2422.0|0|2422.0|0|25.0|0|0.0|100
0|2021-10-31|2422.0|0|2422.0|0|25.0|0|0.0|100
0|2021-11-01|2424.0|0|2424.0|0|25.0|0|0.0|100
0|2021-11-02|2424.0|0|2424.0|0|25.0|0|0.0|100
0|2021-11-03|2428.0|0|2428.0|0|25.0|0|0.0|100
0|2021-11-04|2428.0|0|2428.0|0|25.0|0|0.0|100
0|2021-11-05|2436.0|0|2436.0|0|26.0|0|0.0|100
0|2021-11-06|2436.0|0|2436.0|0|26.0|0|0.0|100
0|2021-11-07|2436.0|0|2436.0|0|26.0|0|0.0|100
0|2021-11-08|2451.0|0|2451.0|0|26.0|0|0.0|100
0|2021-11-09|2451.0|0|2451.0|0|26.0|0|0.0|100
0|2021-11-10|2451.0|0|2464.0|0|26.0|0|0.0|100
0|2021-11-11|2464.0|0|2464.0|0|27.0|0|0.0|100
0|2021-11-12|2472.0|0|2472.0|0|27.0|0|0.0|100
0|2021-11-13|2472.0|0|2472.0|0|27.0|0|0.0|100
0|2021-11-14|2472.0|0|2472.0|0|27.0|0|0.0|100
0|2021-11-15|2481.0|0|2481.0|0|27.0|0|0.0|100
0|2021-11-16|2481.0|0|2481.0|0|27.0|0|0.0|100
0|2021-11-17|2494.0|0|2494.0|0|27.0|0|0.0|100
0|2021-11-18|2494.0|0|2494.0|0|27.0|0|0.0|100
0|2021-11-19|2506.0|0|2506.0|0|27.0|0|0.0|100
0|2021-11-20|2506.0|0|2506.0|0|27.0|0|0.0|100
0|2021-11-21|2506.0|0|2506.0|0|27.0|0|0.0|100
0|2021-11-22|2521.0|0|2521.0|0|27.0|0|0.0|100
