|dates|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Mingo_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Mingo_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Mingo_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4447.0|0|4447.0|0|77.0|0|0.0|100
0|2021-10-18|4453.0|0|4453.0|0|77.0|0|0.0|100
0|2021-10-19|4474.0|0|4474.0|0|77.0|0|0.0|100
0|2021-10-20|4495.0|0|4495.0|0|78.0|0|0.0|100
0|2021-10-21|4513.0|0|4513.0|0|78.0|0|0.0|100
0|2021-10-22|4531.0|0|4531.0|0|79.0|0|0.0|100
0|2021-10-23|4549.0|0|4549.0|0|79.0|0|0.0|100
0|2021-10-24|4567.0|0|4567.0|0|79.0|0|0.0|100
0|2021-10-25|4579.0|0|4579.0|0|79.0|0|0.0|100
0|2021-10-26|4584.0|0|4584.0|0|79.0|0|0.0|100
0|2021-10-27|4596.0|0|4596.0|0|81.0|0|0.0|100
0|2021-10-28|4609.0|0|4609.0|0|81.0|0|0.0|100
0|2021-10-29|4623.0|0|4623.0|0|81.0|0|0.0|100
0|2021-10-30|4636.0|0|4636.0|0|81.0|0|0.0|100
0|2021-10-31|4637.0|0|4637.0|0|81.0|0|0.0|100
0|2021-11-01|4640.0|0|4640.0|0|81.0|0|0.0|100
0|2021-11-02|4652.0|0|4652.0|0|81.0|0|0.0|100
0|2021-11-03|4657.0|0|4657.0|0|82.0|0|0.0|100
0|2021-11-04|4670.0|0|4670.0|0|82.0|0|0.0|100
0|2021-11-05|4676.0|0|4676.0|0|82.0|0|0.0|100
0|2021-11-06|4676.0|0|4676.0|0|82.0|0|0.0|100
0|2021-11-07|4683.0|0|4683.0|0|82.0|0|0.0|100
0|2021-11-08|4683.0|0|4683.0|0|83.0|0|0.0|100
0|2021-11-09|4688.0|0|4688.0|0|83.0|0|0.0|100
0|2021-11-10|4702.0|0|4702.0|0|83.0|0|0.0|100
0|2021-11-11|4705.0|0|4705.0|0|83.0|0|0.0|100
0|2021-11-12|4714.0|0|4714.0|0|83.0|0|0.0|100
0|2021-11-13|4729.0|0|4729.0|0|83.0|0|0.0|100
0|2021-11-14|4736.0|0|4736.0|0|83.0|0|0.0|100
0|2021-11-15|4747.0|0|4747.0|0|83.0|0|0.0|100
0|2021-11-16|4768.0|0|4768.0|0|84.0|0|0.0|100
0|2021-11-17|4799.0|0|4799.0|0|84.0|0|0.0|100
0|2021-11-18|4809.0|0|4809.0|0|84.0|0|0.0|100
0|2021-11-19|4831.0|0|4831.0|0|84.0|0|0.0|100
0|2021-11-20|4837.0|0|4837.0|0|84.0|0|0.0|100
0|2021-11-21|4851.0|0|4851.0|0|84.0|0|0.0|100
0|2021-11-22|4863.0|0|4863.0|0|84.0|0|0.0|100
0|2021-11-23|4869.0|0|4869.0|0|84.0|0|0.0|100
0|2021-11-24|4891.0|0|4891.0|0|84.0|0|0.0|100
0|2021-11-25|4891.0|0|4891.0|0|84.0|0|0.0|100
0|2021-11-26|4891.0|0|4891.0|0|84.0|0|0.0|100
0|2021-11-27|4891.0|0|4891.0|0|84.0|0|0.0|100
0|2021-11-28|4891.0|0|4891.0|0|84.0|0|0.0|100
0|2021-11-29|4926.0|0|4926.0|0|84.0|0|0.0|100
0|2021-11-30|4942.0|0|4942.0|0|84.0|0|0.0|100
0|2021-12-01|4974.0|0|4974.0|0|86.0|0|0.0|100
0|2021-12-02|4981.0|0|4981.0|0|88.0|0|0.0|100
0|2021-12-03|4997.0|0|4997.0|0|88.0|0|0.0|100
0|2021-12-04|5038.0|0|5038.0|0|88.0|0|0.0|100
0|2021-12-05|5043.0|0|5043.0|0|88.0|0|0.0|100
0|2021-12-06|5056.0|0|5056.0|0|90.0|0|0.0|100
0|2021-12-07|5069.0|0|5069.0|0|91.0|0|0.0|100
0|2021-12-08|5085.0|0|5085.0|0|92.0|0|0.0|100
0|2021-12-09|5101.0|0|5101.0|0|93.0|0|0.0|100
0|2021-12-10|5113.0|0|5113.0|0|93.0|0|0.0|100
0|2021-12-11|5121.0|0|5121.0|0|93.0|0|0.0|100
0|2021-12-12|5131.0|0|5131.0|0|93.0|0|0.0|100
0|2021-12-13|5133.0|0|5133.0|0|94.0|0|0.0|100
0|2021-12-14|5133.0|0|5142.0|0|94.0|0|0.0|100
0|2021-12-15|5158.0|0|5158.0|0|94.0|0|0.0|100
0|2021-12-16|5169.0|0|5169.0|0|94.0|0|0.0|100
0|2021-12-17|5177.0|0|5177.0|0|94.0|0|0.0|100
0|2021-12-18|5190.0|0|5190.0|0|94.0|0|0.0|100
0|2021-12-19|5196.0|0|5196.0|0|94.0|0|0.0|100
0|2021-12-20|5201.0|0|5201.0|0|95.0|0|0.0|100
0|2021-12-21|5215.0|0|5215.0|0|96.0|0|0.0|100
0|2021-12-22|5232.0|0|5232.0|0|97.0|0|0.0|100
0|2021-12-23|5242.0|0|5242.0|0|97.0|0|0.0|100
0|2021-12-24|5242.0|0|5242.0|0|97.0|0|0.0|100
0|2021-12-25|5242.0|0|5242.0|0|97.0|0|0.0|100
0|2021-12-26|5242.0|0|5242.0|0|97.0|0|0.0|100
