|dates|Menard_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Menard_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Menard_Texas_UnitedStates.Male_Total_Population.data|Menard_Texas_UnitedStates.Male_Total_Population.missing|Menard_Texas_UnitedStates.Female_Total_Population.data|Menard_Texas_UnitedStates.Female_Total_Population.missing|Menard_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Menard_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-18|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-19|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-20|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-21|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-22|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-23|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-24|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-25|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-26|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-27|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-28|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-29|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-30|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-10-31|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-01|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-02|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-03|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-04|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-05|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-06|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-07|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-08|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-09|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-10|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-11|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-12|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-13|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-14|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-15|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-16|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-17|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-18|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-19|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-20|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-21|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-22|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-23|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-24|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-25|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-26|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-27|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-28|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-29|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-11-30|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-01|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-02|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-03|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-04|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-05|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-06|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-07|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-08|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-09|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-10|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-11|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-12|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-13|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-14|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-15|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-16|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-17|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-18|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-19|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-20|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-21|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-22|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-23|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-24|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-25|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-26|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-27|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-28|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-29|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-30|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2021-12-31|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-01|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-02|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-03|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-04|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-05|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-06|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-07|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-08|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-09|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-10|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-11|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-12|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-13|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-14|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-15|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-16|679.0|0|1062.0|0|1077.0|0|378.0|0
0|2022-01-17|679.0|0|1062.0|0|1077.0|0|378.0|0
