|dates|Franklin_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Franklin_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Franklin_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6786.0|0|6786.0|0|75.0|0|0.0|100
0|2021-10-18|6833.0|0|6833.0|0|76.0|0|0.0|100
0|2021-10-19|6852.0|0|6852.0|0|76.0|0|0.0|100
0|2021-10-20|6882.0|0|6882.0|0|76.0|0|0.0|100
0|2021-10-21|6903.0|0|6903.0|0|76.0|0|0.0|100
0|2021-10-22|6915.0|0|6915.0|0|76.0|0|0.0|100
0|2021-10-23|6915.0|0|6915.0|0|76.0|0|0.0|100
0|2021-10-24|6915.0|0|6915.0|0|76.0|0|0.0|100
0|2021-10-25|6946.0|0|6946.0|0|77.0|0|0.0|100
0|2021-10-26|6968.0|0|6968.0|0|78.0|0|0.0|100
0|2021-10-27|6984.0|0|6984.0|0|78.0|0|0.0|100
0|2021-10-28|7009.0|0|7009.0|0|78.0|0|0.0|100
0|2021-10-29|7032.0|0|7032.0|0|78.0|0|0.0|100
0|2021-10-30|7032.0|0|7032.0|0|78.0|0|0.0|100
0|2021-10-31|7032.0|0|7032.0|0|78.0|0|0.0|100
0|2021-11-01|7079.0|0|7079.0|0|79.0|0|0.0|100
0|2021-11-02|7100.0|0|7100.0|0|80.0|0|0.0|100
0|2021-11-03|7136.0|0|7136.0|0|80.0|0|0.0|100
0|2021-11-04|7146.0|0|7146.0|0|80.0|0|0.0|100
0|2021-11-05|7161.0|0|7161.0|0|80.0|0|0.0|100
0|2021-11-06|7161.0|0|7161.0|0|80.0|0|0.0|100
0|2021-11-07|7161.0|0|7161.0|0|80.0|0|0.0|100
0|2021-11-08|7204.0|0|7204.0|0|80.0|0|0.0|100
0|2021-11-09|7230.0|0|7230.0|0|81.0|0|0.0|100
0|2021-11-10|7230.0|0|7254.0|0|81.0|0|0.0|100
0|2021-11-11|7254.0|0|7254.0|0|81.0|0|0.0|100
0|2021-11-12|7287.0|0|7287.0|0|82.0|0|0.0|100
0|2021-11-13|7287.0|0|7287.0|0|82.0|0|0.0|100
0|2021-11-14|7287.0|0|7287.0|0|82.0|0|0.0|100
0|2021-11-15|7337.0|0|7337.0|0|84.0|0|0.0|100
0|2021-11-16|7358.0|0|7358.0|0|84.0|0|0.0|100
