|dates|Boone_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Boone_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Boone_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Boone_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Boone_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Boone_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|688.0|0|688.0|0|4.0|0|0.0|100
0|2021-10-18|693.0|0|693.0|0|4.0|0|0.0|100
0|2021-10-19|693.0|0|693.0|0|4.0|0|0.0|100
0|2021-10-20|695.0|0|695.0|0|4.0|0|0.0|100
0|2021-10-21|700.0|0|700.0|0|4.0|0|0.0|100
0|2021-10-22|700.0|0|700.0|0|4.0|0|0.0|100
0|2021-10-23|700.0|0|700.0|0|4.0|0|0.0|100
0|2021-10-24|700.0|0|700.0|0|4.0|0|0.0|100
0|2021-10-25|700.0|0|700.0|0|4.0|0|0.0|100
0|2021-10-26|700.0|0|700.0|0|4.0|0|0.0|100
0|2021-10-27|708.0|0|708.0|0|4.0|0|0.0|100
0|2021-10-28|708.0|0|708.0|0|4.0|0|0.0|100
0|2021-10-29|708.0|0|709.0|0|4.0|0|0.0|100
0|2021-10-30|708.0|0|709.0|0|4.0|0|0.0|100
0|2021-10-31|708.0|0|710.0|0|4.0|0|0.0|100
0|2021-11-01|708.0|0|720.0|0|4.0|0|0.0|100
0|2021-11-02|708.0|0|720.0|0|4.0|0|0.0|100
0|2021-11-03|730.0|0|730.0|0|4.0|0|0.0|100
0|2021-11-04|730.0|0|730.0|0|4.0|0|0.0|100
0|2021-11-05|730.0|0|730.0|0|4.0|0|0.0|100
0|2021-11-06|730.0|0|730.0|0|4.0|0|0.0|100
0|2021-11-07|730.0|0|730.0|0|4.0|0|0.0|100
0|2021-11-08|750.0|0|750.0|0|4.0|0|0.0|100
0|2021-11-09|754.0|0|754.0|0|4.0|0|0.0|100
0|2021-11-10|754.0|0|761.0|0|4.0|0|0.0|100
0|2021-11-11|765.0|0|765.0|0|4.0|0|0.0|100
0|2021-11-12|767.0|0|767.0|0|4.0|0|0.0|100
0|2021-11-13|767.0|0|767.0|0|4.0|0|0.0|100
0|2021-11-14|767.0|0|767.0|0|4.0|0|0.0|100
0|2021-11-15|777.0|0|777.0|0|4.0|0|0.0|100
