|dates|Shelby_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Shelby_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Shelby_Tennessee_UnitedStates.Male_Total_Population.data|Shelby_Tennessee_UnitedStates.Male_Total_Population.missing|Shelby_Tennessee_UnitedStates.Female_Total_Population.data|Shelby_Tennessee_UnitedStates.Female_Total_Population.missing|Shelby_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Shelby_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-18|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-19|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-20|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-21|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-22|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-23|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-24|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-25|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-26|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-27|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-28|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-29|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-30|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-10-31|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-01|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-02|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-03|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-04|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-05|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-06|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-07|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-08|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-09|127099.0|0|444522.0|0|491242.0|0|232721.0|0
0|2021-11-10|127099.0|0|444522.0|0|491242.0|0|232721.0|0
