|dates|Cochran_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cochran_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cochran_Texas_UnitedStates.Male_Total_Population.data|Cochran_Texas_UnitedStates.Male_Total_Population.missing|Cochran_Texas_UnitedStates.Female_Total_Population.data|Cochran_Texas_UnitedStates.Female_Total_Population.missing|Cochran_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Cochran_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-18|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-19|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-20|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-21|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-22|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-23|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-24|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-25|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-26|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-27|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-28|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-29|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-30|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-10-31|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-11-01|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-11-02|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-11-03|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-11-04|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-11-05|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-11-06|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-11-07|463.0|0|1423.0|0|1413.0|0|786.0|0
0|2021-11-08|463.0|0|1423.0|0|1413.0|0|786.0|0
