|dates|Carroll_Indiana_UnitedStates.JHU_ConfirmedCases.data|Carroll_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Carroll_Indiana_UnitedStates.NYT_ConfirmedCases.data|Carroll_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Carroll_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Carroll_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Carroll_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Carroll_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2582.0|0|2584.0|0|32.0|0|0.0|100
0|2021-10-18|2591.0|0|2593.0|0|32.0|0|0.0|100
0|2021-10-19|2598.0|0|2600.0|0|32.0|0|0.0|100
0|2021-10-20|2606.0|0|2608.0|0|33.0|0|0.0|100
0|2021-10-21|2611.0|0|2613.0|0|33.0|0|0.0|100
0|2021-10-22|2619.0|0|2621.0|0|34.0|0|0.0|100
0|2021-10-23|2619.0|0|2621.0|0|34.0|0|0.0|100
0|2021-10-24|2619.0|0|2621.0|0|34.0|0|0.0|100
0|2021-10-25|2624.0|0|2626.0|0|34.0|0|0.0|100
0|2021-10-26|2625.0|0|2627.0|0|34.0|0|0.0|100
0|2021-10-27|2632.0|0|2635.0|0|34.0|0|0.0|100
0|2021-10-28|2642.0|0|2645.0|0|35.0|0|0.0|100
0|2021-10-29|2647.0|0|2650.0|0|35.0|0|0.0|100
0|2021-10-30|2647.0|0|2650.0|0|35.0|0|0.0|100
0|2021-10-31|2647.0|0|2650.0|0|35.0|0|0.0|100
0|2021-11-01|2660.0|0|2663.0|0|35.0|0|0.0|100
0|2021-11-02|2669.0|0|2672.0|0|35.0|0|0.0|100
0|2021-11-03|2674.0|0|2677.0|0|36.0|0|0.0|100
0|2021-11-04|2683.0|0|2686.0|0|36.0|0|0.0|100
0|2021-11-05|2692.0|0|2695.0|0|36.0|0|0.0|100
0|2021-11-06|2692.0|0|2695.0|0|36.0|0|0.0|100
0|2021-11-07|2692.0|0|2695.0|0|36.0|0|0.0|100
0|2021-11-08|2709.0|0|2712.0|0|36.0|0|0.0|100
0|2021-11-09|2721.0|0|2724.0|0|36.0|0|0.0|100
0|2021-11-10|2734.0|0|2737.0|0|36.0|0|0.0|100
0|2021-11-11|2756.0|0|2759.0|0|36.0|0|0.0|100
0|2021-11-12|2762.0|0|2765.0|0|36.0|0|0.0|100
0|2021-11-13|2762.0|0|2765.0|0|36.0|0|0.0|100
