|dates|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Norfolk_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Norfolk_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|63429.0|0|63429.0|0|1853.0|0|0.0|100
0|2021-10-18|63638.0|0|63638.0|0|1853.0|0|0.0|100
0|2021-10-19|63813.0|0|63813.0|0|1853.0|0|0.0|100
0|2021-10-20|63904.0|0|63904.0|0|1855.0|0|0.0|100
0|2021-10-21|64003.0|0|64003.0|0|1855.0|0|0.0|100
0|2021-10-22|64109.0|0|64109.0|0|1855.0|0|0.0|100
0|2021-10-23|64109.0|0|64109.0|0|1855.0|0|0.0|100
0|2021-10-24|64109.0|0|64109.0|0|1855.0|0|0.0|100
0|2021-10-25|64353.0|0|64353.0|0|1855.0|0|0.0|100
0|2021-10-26|64433.0|0|64433.0|0|1856.0|0|0.0|100
0|2021-10-27|64536.0|0|64536.0|0|1859.0|0|0.0|100
0|2021-10-28|64536.0|0|64653.0|0|1861.0|0|0.0|100
0|2021-10-29|64746.0|0|64746.0|0|1862.0|0|0.0|100
0|2021-10-30|64746.0|0|64746.0|0|1862.0|0|0.0|100
0|2021-10-31|64746.0|0|64746.0|0|1862.0|0|0.0|100
0|2021-11-01|64984.0|0|64984.0|0|1862.0|0|0.0|100
0|2021-11-02|65088.0|0|65088.0|0|1863.0|0|0.0|100
0|2021-11-03|65214.0|0|65214.0|0|1864.0|0|0.0|100
0|2021-11-04|65328.0|0|65328.0|0|1865.0|0|0.0|100
0|2021-11-05|65426.0|0|65426.0|0|1865.0|0|0.0|100
0|2021-11-06|65426.0|0|65426.0|0|1865.0|0|0.0|100
0|2021-11-07|65426.0|0|65426.0|0|1865.0|0|0.0|100
0|2021-11-08|65679.0|0|65679.0|0|1866.0|0|0.0|100
0|2021-11-09|65768.0|0|65768.0|0|1867.0|0|0.0|100
0|2021-11-10|65768.0|0|65886.0|0|1867.0|0|0.0|100
0|2021-11-11|65886.0|0|65886.0|0|1870.0|0|0.0|100
0|2021-11-12|66109.0|0|66109.0|0|1871.0|0|0.0|100
0|2021-11-13|66109.0|0|66109.0|0|1871.0|0|0.0|100
0|2021-11-14|66109.0|0|66109.0|0|1871.0|0|0.0|100
0|2021-11-15|66478.0|0|66478.0|0|1874.0|0|0.0|100
0|2021-11-16|66612.0|0|66612.0|0|1874.0|0|0.0|100
0|2021-11-17|66802.0|0|66802.0|0|1875.0|0|0.0|100
0|2021-11-18|67009.0|0|67009.0|0|1877.0|0|0.0|100
0|2021-11-19|67156.0|0|67156.0|0|1879.0|0|0.0|100
0|2021-11-20|67156.0|0|67156.0|0|1879.0|0|0.0|100
0|2021-11-21|67156.0|0|67156.0|0|1879.0|0|0.0|100
0|2021-11-22|67626.0|0|67626.0|0|1880.0|0|0.0|100
0|2021-11-23|67867.0|0|67867.0|0|1881.0|0|0.0|100
0|2021-11-24|68047.0|0|68047.0|0|1883.0|0|0.0|100
0|2021-11-25|68047.0|0|68047.0|0|1883.0|0|0.0|100
0|2021-11-26|68351.0|0|68351.0|0|1883.0|0|0.0|100
0|2021-11-27|68351.0|0|68351.0|0|1883.0|0|0.0|100
0|2021-11-28|68351.0|0|68351.0|0|1883.0|0|0.0|100
0|2021-11-29|68723.0|0|68723.0|0|1883.0|0|0.0|100
0|2021-11-30|68959.0|0|68959.0|0|1885.0|0|0.0|100
0|2021-12-01|69317.0|0|69317.0|0|1885.0|0|0.0|100
0|2021-12-02|69317.0|0|69666.0|0|1885.0|0|0.0|100
0|2021-12-03|70012.0|0|70012.0|0|1892.0|0|0.0|100
0|2021-12-04|70012.0|0|70012.0|0|1892.0|0|0.0|100
0|2021-12-05|70012.0|0|70012.0|0|1892.0|0|0.0|100
0|2021-12-06|70817.0|0|70817.0|0|1894.0|0|0.0|100
0|2021-12-07|71192.0|0|71192.0|0|1900.0|0|0.0|100
0|2021-12-08|71595.0|0|71595.0|0|1901.0|0|0.0|100
0|2021-12-09|72023.0|0|72023.0|0|1906.0|0|0.0|100
0|2021-12-10|72378.0|0|72378.0|0|1908.0|0|0.0|100
0|2021-12-11|72378.0|0|72378.0|0|1908.0|0|0.0|100
0|2021-12-12|72378.0|0|72378.0|0|1908.0|0|0.0|100
0|2021-12-13|73260.0|0|73260.0|0|1909.0|0|0.0|100
0|2021-12-14|73260.0|0|73583.0|0|1909.0|0|0.0|100
0|2021-12-15|73895.0|0|73895.0|0|1919.0|0|0.0|100
0|2021-12-16|74358.0|0|74358.0|0|1921.0|0|0.0|100
0|2021-12-17|74907.0|0|74907.0|0|1923.0|0|0.0|100
0|2021-12-18|74907.0|0|74907.0|0|1923.0|0|0.0|100
0|2021-12-19|74907.0|0|74907.0|0|1923.0|0|0.0|100
0|2021-12-20|75997.0|0|75997.0|0|1925.0|0|0.0|100
0|2021-12-21|76621.0|0|76621.0|0|1929.0|0|0.0|100
0|2021-12-22|77328.0|0|77328.0|0|1931.0|0|0.0|100
0|2021-12-23|78149.0|0|78149.0|0|1936.0|0|0.0|100
0|2021-12-24|79015.0|0|79015.0|0|1939.0|0|0.0|100
0|2021-12-25|79015.0|0|79015.0|0|1939.0|0|0.0|100
0|2021-12-26|79015.0|0|79015.0|0|1939.0|0|0.0|100
0|2021-12-27|80210.0|0|80210.0|0|1941.0|0|0.0|100
0|2021-12-28|81213.0|0|81213.0|0|1947.0|0|0.0|100
0|2021-12-29|82736.0|0|82736.0|0|1949.0|0|0.0|100
0|2021-12-30|84862.0|0|84862.0|0|1951.0|0|0.0|100
0|2021-12-31|86849.0|0|86849.0|0|1954.0|0|0.0|100
0|2022-01-01|86849.0|0|86849.0|0|1954.0|0|0.0|100
0|2022-01-02|86849.0|0|86849.0|0|1954.0|0|0.0|100
0|2022-01-03|89622.0|0|89622.0|0|1955.0|0|0.0|100
0|2022-01-04|91486.0|0|91486.0|0|1966.0|0|0.0|100
0|2022-01-05|93967.0|0|93967.0|0|1973.0|0|0.0|100
0|2022-01-06|96227.0|0|96227.0|0|1975.0|0|0.0|100
0|2022-01-07|98578.0|0|98578.0|0|1977.0|0|0.0|100
0|2022-01-08|98578.0|0|98578.0|0|1977.0|0|0.0|100
0|2022-01-09|98578.0|0|98578.0|0|1977.0|0|0.0|100
0|2022-01-10|103331.0|0|103331.0|0|1979.0|0|0.0|100
0|2022-01-11|105237.0|0|105237.0|0|1991.0|0|0.0|100
0|2022-01-12|107292.0|0|107292.0|0|1994.0|0|0.0|100
0|2022-01-13|107292.0|0|109169.0|0|1994.0|0|0.0|100
0|2022-01-14|110351.0|0|110351.0|0|2004.0|0|0.0|100
0|2022-01-15|110351.0|0|110351.0|0|2004.0|0|0.0|100
0|2022-01-16|110351.0|0|110351.0|0|2004.0|0|0.0|100
0|2022-01-17|110351.0|0|0.0|100|2004.0|0|0.0|100
