|dates|Merced_California_UnitedStates.BLS_EmployedPopulation.data|Merced_California_UnitedStates.BLS_EmployedPopulation.missing|Merced_California_UnitedStates.BLS_UnemployedPopulation.data|Merced_California_UnitedStates.BLS_UnemployedPopulation.missing|Merced_California_UnitedStates.BLS_UnemploymentRate.data|Merced_California_UnitedStates.BLS_UnemploymentRate.missing|Merced_California_UnitedStates.BLS_LaborForcePopulation.data|Merced_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-18|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-19|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-20|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-21|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-22|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-23|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-24|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-25|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-26|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-27|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-28|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-29|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-30|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-10-31|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-01|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-02|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-03|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-04|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-05|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-06|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-07|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-08|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-09|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-10|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-11|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-12|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-13|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-14|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-15|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-16|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-17|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-18|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-19|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-20|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-21|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-22|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-23|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-24|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
0|2021-11-25|105226.0|0|11551.0|0|9.891502607534019|0|116777.0|0
