|dates|Jackson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Jackson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Jackson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2054.0|0|2054.0|0|40.0|0|0.0|100
0|2021-10-18|2059.0|0|2059.0|0|40.0|0|0.0|100
0|2021-10-19|2060.0|0|2060.0|0|40.0|0|0.0|100
0|2021-10-20|2066.0|0|2066.0|0|40.0|0|0.0|100
0|2021-10-21|2066.0|0|2066.0|0|40.0|0|0.0|100
0|2021-10-22|2068.0|0|2068.0|0|40.0|0|0.0|100
0|2021-10-23|2068.0|0|2068.0|0|40.0|0|0.0|100
0|2021-10-24|2068.0|0|2068.0|0|40.0|0|0.0|100
0|2021-10-25|2068.0|0|2068.0|0|40.0|0|0.0|100
0|2021-10-26|2074.0|0|2074.0|0|40.0|0|0.0|100
0|2021-10-27|2076.0|0|2076.0|0|40.0|0|0.0|100
0|2021-10-28|2078.0|0|2078.0|0|40.0|0|0.0|100
0|2021-10-29|2081.0|0|2081.0|0|40.0|0|0.0|100
0|2021-10-30|2081.0|0|2081.0|0|40.0|0|0.0|100
0|2021-10-31|2081.0|0|2081.0|0|40.0|0|0.0|100
0|2021-11-01|2081.0|0|2081.0|0|40.0|0|0.0|100
0|2021-11-02|2082.0|0|2082.0|0|40.0|0|0.0|100
0|2021-11-03|2081.0|0|2081.0|0|40.0|0|0.0|100
0|2021-11-04|2083.0|0|2083.0|0|40.0|0|0.0|100
0|2021-11-05|2085.0|0|2085.0|0|40.0|0|0.0|100
0|2021-11-06|2085.0|0|2085.0|0|40.0|0|0.0|100
0|2021-11-07|2085.0|0|2085.0|0|40.0|0|0.0|100
0|2021-11-08|2085.0|0|2085.0|0|40.0|0|0.0|100
0|2021-11-09|2093.0|0|2093.0|0|40.0|0|0.0|100
0|2021-11-10|2093.0|0|2098.0|0|40.0|0|0.0|100
0|2021-11-11|2098.0|0|2098.0|0|40.0|0|0.0|100
0|2021-11-12|2102.0|0|2102.0|0|40.0|0|0.0|100
0|2021-11-13|2102.0|0|2102.0|0|40.0|0|0.0|100
0|2021-11-14|2102.0|0|2102.0|0|40.0|0|0.0|100
0|2021-11-15|2104.0|0|2104.0|0|40.0|0|0.0|100
0|2021-11-16|2106.0|0|2106.0|0|40.0|0|0.0|100
0|2021-11-17|2106.0|0|2106.0|0|40.0|0|0.0|100
0|2021-11-18|2105.0|0|2105.0|0|40.0|0|0.0|100
0|2021-11-19|2106.0|0|2106.0|0|40.0|0|0.0|100
0|2021-11-20|2106.0|0|2106.0|0|40.0|0|0.0|100
0|2021-11-21|2106.0|0|2106.0|0|40.0|0|0.0|100
0|2021-11-22|2107.0|0|2107.0|0|40.0|0|0.0|100
0|2021-11-23|2108.0|0|2108.0|0|40.0|0|0.0|100
0|2021-11-24|2108.0|0|2108.0|0|40.0|0|0.0|100
0|2021-11-25|2108.0|0|2108.0|0|40.0|0|0.0|100
0|2021-11-26|2108.0|0|2108.0|0|40.0|0|0.0|100
0|2021-11-27|2108.0|0|2108.0|0|40.0|0|0.0|100
0|2021-11-28|2108.0|0|2108.0|0|40.0|0|0.0|100
0|2021-11-29|2111.0|0|2111.0|0|40.0|0|0.0|100
0|2021-11-30|2112.0|0|2112.0|0|41.0|0|0.0|100
0|2021-12-01|2115.0|0|2115.0|0|41.0|0|0.0|100
0|2021-12-02|2119.0|0|2119.0|0|41.0|0|0.0|100
0|2021-12-03|2121.0|0|2121.0|0|42.0|0|0.0|100
0|2021-12-04|2121.0|0|2121.0|0|42.0|0|0.0|100
0|2021-12-05|2121.0|0|2121.0|0|42.0|0|0.0|100
0|2021-12-06|2129.0|0|2129.0|0|43.0|0|0.0|100
0|2021-12-07|2131.0|0|2131.0|0|43.0|0|0.0|100
0|2021-12-08|2131.0|0|2131.0|0|43.0|0|0.0|100
0|2021-12-09|2131.0|0|2131.0|0|43.0|0|0.0|100
0|2021-12-10|2138.0|0|2138.0|0|43.0|0|0.0|100
0|2021-12-11|2138.0|0|2138.0|0|43.0|0|0.0|100
0|2021-12-12|2138.0|0|2138.0|0|43.0|0|0.0|100
0|2021-12-13|2145.0|0|2145.0|0|43.0|0|0.0|100
0|2021-12-14|2145.0|0|2150.0|0|43.0|0|0.0|100
0|2021-12-15|2152.0|0|2152.0|0|43.0|0|0.0|100
0|2021-12-16|2154.0|0|2154.0|0|43.0|0|0.0|100
0|2021-12-17|2155.0|0|2155.0|0|43.0|0|0.0|100
0|2021-12-18|2155.0|0|2155.0|0|43.0|0|0.0|100
0|2021-12-19|2155.0|0|2155.0|0|43.0|0|0.0|100
0|2021-12-20|2168.0|0|2168.0|0|43.0|0|0.0|100
0|2021-12-21|2172.0|0|2172.0|0|44.0|0|0.0|100
0|2021-12-22|2176.0|0|2176.0|0|44.0|0|0.0|100
0|2021-12-23|2187.0|0|2187.0|0|48.0|0|0.0|100
0|2021-12-24|2187.0|0|2187.0|0|48.0|0|0.0|100
0|2021-12-25|2187.0|0|2187.0|0|48.0|0|0.0|100
0|2021-12-26|2187.0|0|2187.0|0|48.0|0|0.0|100
0|2021-12-27|2199.0|0|2199.0|0|48.0|0|0.0|100
0|2021-12-28|2199.0|0|2205.0|0|48.0|0|0.0|100
0|2021-12-29|2216.0|0|2216.0|0|48.0|0|0.0|100
0|2021-12-30|2230.0|0|2230.0|0|49.0|0|0.0|100
0|2021-12-31|2230.0|0|2230.0|0|49.0|0|0.0|100
0|2022-01-01|2230.0|0|2230.0|0|49.0|0|0.0|100
0|2022-01-02|2230.0|0|2230.0|0|49.0|0|0.0|100
0|2022-01-03|2263.0|0|2263.0|0|49.0|0|0.0|100
0|2022-01-04|2270.0|0|2270.0|0|50.0|0|0.0|100
0|2022-01-05|2270.0|0|2270.0|0|50.0|0|0.0|100
0|2022-01-06|2270.0|0|2270.0|0|50.0|0|0.0|100
0|2022-01-07|2270.0|0|2270.0|0|50.0|0|0.0|100
0|2022-01-08|2270.0|0|2270.0|0|50.0|0|0.0|100
0|2022-01-09|2270.0|0|2270.0|0|50.0|0|0.0|100
0|2022-01-10|2270.0|0|2270.0|0|50.0|0|0.0|100
0|2022-01-11|2270.0|0|2270.0|0|50.0|0|0.0|100
0|2022-01-12|2331.0|0|2331.0|0|51.0|0|0.0|100
0|2022-01-13|2331.0|0|2331.0|0|51.0|0|0.0|100
0|2022-01-14|2331.0|0|2331.0|0|51.0|0|0.0|100
0|2022-01-15|2331.0|0|2331.0|0|51.0|0|0.0|100
0|2022-01-16|2331.0|0|2331.0|0|51.0|0|0.0|100
0|2022-01-17|2331.0|0|0.0|100|51.0|0|0.0|100
