|dates|Benton_Indiana_UnitedStates.JHU_ConfirmedCases.data|Benton_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Benton_Indiana_UnitedStates.NYT_ConfirmedCases.data|Benton_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Benton_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1501.0|0|1501.0|0|17.0|0|0.0|100
0|2021-10-18|1502.0|0|1502.0|0|17.0|0|0.0|100
0|2021-10-19|1502.0|0|1502.0|0|17.0|0|0.0|100
0|2021-10-20|1502.0|0|1502.0|0|17.0|0|0.0|100
0|2021-10-21|1502.0|0|1502.0|0|17.0|0|0.0|100
0|2021-10-22|1506.0|0|1506.0|0|17.0|0|0.0|100
0|2021-10-23|1506.0|0|1506.0|0|17.0|0|0.0|100
0|2021-10-24|1506.0|0|1506.0|0|17.0|0|0.0|100
0|2021-10-25|1512.0|0|1512.0|0|17.0|0|0.0|100
0|2021-10-26|1514.0|0|1514.0|0|17.0|0|0.0|100
0|2021-10-27|1518.0|0|1518.0|0|17.0|0|0.0|100
0|2021-10-28|1517.0|0|1517.0|0|17.0|0|0.0|100
0|2021-10-29|1521.0|0|1521.0|0|17.0|0|0.0|100
0|2021-10-30|1521.0|0|1521.0|0|17.0|0|0.0|100
0|2021-10-31|1521.0|0|1521.0|0|17.0|0|0.0|100
0|2021-11-01|1523.0|0|1523.0|0|17.0|0|0.0|100
0|2021-11-02|1524.0|0|1524.0|0|17.0|0|0.0|100
0|2021-11-03|1529.0|0|1529.0|0|17.0|0|0.0|100
0|2021-11-04|1530.0|0|1530.0|0|17.0|0|0.0|100
0|2021-11-05|1535.0|0|1535.0|0|17.0|0|0.0|100
0|2021-11-06|1535.0|0|1535.0|0|17.0|0|0.0|100
0|2021-11-07|1535.0|0|1535.0|0|17.0|0|0.0|100
0|2021-11-08|1540.0|0|1540.0|0|17.0|0|0.0|100
0|2021-11-09|1539.0|0|1539.0|0|17.0|0|0.0|100
0|2021-11-10|1539.0|0|1544.0|0|17.0|0|0.0|100
0|2021-11-11|1553.0|0|1553.0|0|17.0|0|0.0|100
0|2021-11-12|1558.0|0|1558.0|0|17.0|0|0.0|100
0|2021-11-13|1558.0|0|1558.0|0|17.0|0|0.0|100
0|2021-11-14|1558.0|0|1558.0|0|17.0|0|0.0|100
0|2021-11-15|1572.0|0|1572.0|0|17.0|0|0.0|100
0|2021-11-16|1573.0|0|1573.0|0|17.0|0|0.0|100
0|2021-11-17|1577.0|0|1577.0|0|17.0|0|0.0|100
0|2021-11-18|1579.0|0|1579.0|0|17.0|0|0.0|100
0|2021-11-19|1582.0|0|1582.0|0|17.0|0|0.0|100
0|2021-11-20|1582.0|0|1582.0|0|17.0|0|0.0|100
0|2021-11-21|1582.0|0|1582.0|0|17.0|0|0.0|100
0|2021-11-22|1597.0|0|1597.0|0|17.0|0|0.0|100
0|2021-11-23|1597.0|0|1597.0|0|17.0|0|0.0|100
0|2021-11-24|1605.0|0|1605.0|0|17.0|0|0.0|100
0|2021-11-25|1605.0|0|1605.0|0|17.0|0|0.0|100
0|2021-11-26|1605.0|0|1605.0|0|17.0|0|0.0|100
0|2021-11-27|1605.0|0|1605.0|0|17.0|0|0.0|100
0|2021-11-28|1605.0|0|1605.0|0|17.0|0|0.0|100
0|2021-11-29|1632.0|0|1632.0|0|17.0|0|0.0|100
0|2021-11-30|1639.0|0|1639.0|0|17.0|0|0.0|100
0|2021-12-01|1655.0|0|1655.0|0|17.0|0|0.0|100
0|2021-12-02|1655.0|0|1665.0|0|17.0|0|0.0|100
0|2021-12-03|1684.0|0|1684.0|0|17.0|0|0.0|100
