|dates|Amite_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Amite_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Amite_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Amite_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Amite_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Amite_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Amite_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Amite_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2039.0|0|2039.0|0|54.0|0|0.0|100
0|2021-10-18|2040.0|0|2040.0|0|55.0|0|0.0|100
0|2021-10-19|2046.0|0|2046.0|0|55.0|0|0.0|100
0|2021-10-20|2047.0|0|2047.0|0|55.0|0|0.0|100
0|2021-10-21|2051.0|0|2051.0|0|55.0|0|0.0|100
0|2021-10-22|2051.0|0|2051.0|0|56.0|0|0.0|100
0|2021-10-23|2051.0|0|2051.0|0|56.0|0|0.0|100
0|2021-10-24|2051.0|0|2051.0|0|56.0|0|0.0|100
0|2021-10-25|2052.0|0|2052.0|0|56.0|0|0.0|100
0|2021-10-26|2060.0|0|2060.0|0|56.0|0|0.0|100
0|2021-10-27|2062.0|0|2062.0|0|56.0|0|0.0|100
0|2021-10-28|2064.0|0|2064.0|0|56.0|0|0.0|100
0|2021-10-29|2065.0|0|2065.0|0|56.0|0|0.0|100
0|2021-10-30|2065.0|0|2065.0|0|56.0|0|0.0|100
0|2021-10-31|2065.0|0|2065.0|0|56.0|0|0.0|100
0|2021-11-01|2066.0|0|2066.0|0|56.0|0|0.0|100
0|2021-11-02|2068.0|0|2068.0|0|56.0|0|0.0|100
0|2021-11-03|2070.0|0|2070.0|0|56.0|0|0.0|100
0|2021-11-04|2070.0|0|2070.0|0|56.0|0|0.0|100
0|2021-11-05|2072.0|0|2072.0|0|56.0|0|0.0|100
0|2021-11-06|2072.0|0|2072.0|0|56.0|0|0.0|100
0|2021-11-07|2072.0|0|2072.0|0|56.0|0|0.0|100
0|2021-11-08|2075.0|0|2075.0|0|56.0|0|0.0|100
0|2021-11-09|2075.0|0|2075.0|0|56.0|0|0.0|100
0|2021-11-10|2076.0|0|2076.0|0|56.0|0|0.0|100
