|dates|Thomas_Kansas_UnitedStates.JHU_ConfirmedCases.data|Thomas_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Thomas_Kansas_UnitedStates.NYT_ConfirmedCases.data|Thomas_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Thomas_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Thomas_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Thomas_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Thomas_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1340.0|0|1340.0|0|22.0|0|0.0|100
0|2021-10-18|1342.0|0|1342.0|0|22.0|0|0.0|100
0|2021-10-19|1342.0|0|1342.0|0|22.0|0|0.0|100
0|2021-10-20|1351.0|0|1351.0|0|22.0|0|0.0|100
0|2021-10-21|1351.0|0|1351.0|0|22.0|0|0.0|100
0|2021-10-22|1350.0|0|1350.0|0|22.0|0|0.0|100
0|2021-10-23|1350.0|0|1350.0|0|22.0|0|0.0|100
0|2021-10-24|1350.0|0|1350.0|0|22.0|0|0.0|100
0|2021-10-25|1352.0|0|1352.0|0|22.0|0|0.0|100
0|2021-10-26|1352.0|0|1352.0|0|22.0|0|0.0|100
0|2021-10-27|1361.0|0|1361.0|0|22.0|0|0.0|100
0|2021-10-28|1361.0|0|1361.0|0|22.0|0|0.0|100
0|2021-10-29|1369.0|0|1369.0|0|22.0|0|0.0|100
0|2021-10-30|1369.0|0|1369.0|0|22.0|0|0.0|100
0|2021-10-31|1369.0|0|1369.0|0|22.0|0|0.0|100
0|2021-11-01|1372.0|0|1372.0|0|22.0|0|0.0|100
0|2021-11-02|1372.0|0|1372.0|0|22.0|0|0.0|100
0|2021-11-03|1387.0|0|1387.0|0|22.0|0|0.0|100
0|2021-11-04|1387.0|0|1387.0|0|22.0|0|0.0|100
0|2021-11-05|1403.0|0|1403.0|0|22.0|0|0.0|100
0|2021-11-06|1403.0|0|1403.0|0|22.0|0|0.0|100
0|2021-11-07|1403.0|0|1403.0|0|22.0|0|0.0|100
0|2021-11-08|1419.0|0|1419.0|0|22.0|0|0.0|100
0|2021-11-09|1419.0|0|1419.0|0|22.0|0|0.0|100
0|2021-11-10|1419.0|0|1445.0|0|22.0|0|0.0|100
0|2021-11-11|1445.0|0|1445.0|0|22.0|0|0.0|100
0|2021-11-12|1486.0|0|1486.0|0|22.0|0|0.0|100
0|2021-11-13|1486.0|0|1486.0|0|22.0|0|0.0|100
0|2021-11-14|1486.0|0|1486.0|0|22.0|0|0.0|100
0|2021-11-15|1509.0|0|1509.0|0|22.0|0|0.0|100
0|2021-11-16|1509.0|0|1509.0|0|22.0|0|0.0|100
0|2021-11-17|1547.0|0|1547.0|0|22.0|0|0.0|100
0|2021-11-18|1547.0|0|1547.0|0|22.0|0|0.0|100
0|2021-11-19|1568.0|0|1568.0|0|22.0|0|0.0|100
0|2021-11-20|1568.0|0|1568.0|0|22.0|0|0.0|100
0|2021-11-21|1568.0|0|1568.0|0|22.0|0|0.0|100
0|2021-11-22|1598.0|0|1598.0|0|23.0|0|0.0|100
0|2021-11-23|1598.0|0|1598.0|0|23.0|0|0.0|100
0|2021-11-24|1598.0|0|1624.0|0|23.0|0|0.0|100
0|2021-11-25|1624.0|0|1624.0|0|23.0|0|0.0|100
0|2021-11-26|1624.0|0|1624.0|0|23.0|0|0.0|100
0|2021-11-27|1624.0|0|1624.0|0|23.0|0|0.0|100
0|2021-11-28|1624.0|0|1624.0|0|23.0|0|0.0|100
0|2021-11-29|1657.0|0|1657.0|0|23.0|0|0.0|100
0|2021-11-30|1657.0|0|1657.0|0|23.0|0|0.0|100
0|2021-12-01|1684.0|0|1684.0|0|23.0|0|0.0|100
0|2021-12-02|1684.0|0|1684.0|0|23.0|0|0.0|100
0|2021-12-03|1684.0|0|1704.0|0|23.0|0|0.0|100
0|2021-12-04|1704.0|0|1704.0|0|23.0|0|0.0|100
0|2021-12-05|1704.0|0|1704.0|0|23.0|0|0.0|100
0|2021-12-06|1724.0|0|1724.0|0|23.0|0|0.0|100
0|2021-12-07|1724.0|0|1724.0|0|23.0|0|0.0|100
0|2021-12-08|1738.0|0|1738.0|0|23.0|0|0.0|100
0|2021-12-09|1738.0|0|1738.0|0|23.0|0|0.0|100
