|dates|Hutchinson_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Hutchinson_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Hutchinson_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Hutchinson_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Hutchinson_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Hutchinson_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Hutchinson_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Hutchinson_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1031.0|0|1031.0|0|28.0|0|0.0|100
0|2021-10-18|1031.0|0|1031.0|0|28.0|0|0.0|100
0|2021-10-19|1031.0|0|1033.0|0|28.0|0|0.0|100
0|2021-10-20|1034.0|0|1034.0|0|28.0|0|0.0|100
0|2021-10-21|1035.0|0|1035.0|0|28.0|0|0.0|100
0|2021-10-22|1038.0|0|1038.0|0|28.0|0|0.0|100
0|2021-10-23|1038.0|0|1038.0|0|28.0|0|0.0|100
0|2021-10-24|1038.0|0|1038.0|0|28.0|0|0.0|100
0|2021-10-25|1038.0|0|1038.0|0|28.0|0|0.0|100
0|2021-10-26|1044.0|0|1044.0|0|28.0|0|0.0|100
0|2021-10-27|1048.0|0|1048.0|0|28.0|0|0.0|100
0|2021-10-28|1049.0|0|1049.0|0|28.0|0|0.0|100
0|2021-10-29|1053.0|0|1053.0|0|28.0|0|0.0|100
0|2021-10-30|1053.0|0|1053.0|0|28.0|0|0.0|100
0|2021-10-31|1053.0|0|1053.0|0|28.0|0|0.0|100
0|2021-11-01|1055.0|0|1055.0|0|28.0|0|0.0|100
0|2021-11-02|1061.0|0|1061.0|0|28.0|0|0.0|100
0|2021-11-03|1067.0|0|1067.0|0|28.0|0|0.0|100
0|2021-11-04|1073.0|0|1073.0|0|28.0|0|0.0|100
0|2021-11-05|1076.0|0|1076.0|0|28.0|0|0.0|100
0|2021-11-06|1076.0|0|1076.0|0|28.0|0|0.0|100
0|2021-11-07|1076.0|0|1076.0|0|28.0|0|0.0|100
0|2021-11-08|1078.0|0|1078.0|0|28.0|0|0.0|100
0|2021-11-09|1089.0|0|1089.0|0|28.0|0|0.0|100
0|2021-11-10|1092.0|0|1092.0|0|28.0|0|0.0|100
0|2021-11-11|1092.0|0|1092.0|0|28.0|0|0.0|100
0|2021-11-12|1096.0|0|1096.0|0|28.0|0|0.0|100
0|2021-11-13|1096.0|0|1096.0|0|28.0|0|0.0|100
0|2021-11-14|1096.0|0|1096.0|0|28.0|0|0.0|100
0|2021-11-15|1101.0|0|1101.0|0|28.0|0|0.0|100
0|2021-11-16|1111.0|0|1111.0|0|28.0|0|0.0|100
0|2021-11-17|1116.0|0|1116.0|0|28.0|0|0.0|100
0|2021-11-18|1121.0|0|1121.0|0|28.0|0|0.0|100
