|dates|SanMateo_California_UnitedStates.JHU_ConfirmedCases.data|SanMateo_California_UnitedStates.JHU_ConfirmedCases.missing|SanMateo_California_UnitedStates.NYT_ConfirmedCases.data|SanMateo_California_UnitedStates.NYT_ConfirmedCases.missing|SanMateo_California_UnitedStates.JHU_ConfirmedDeaths.data|SanMateo_California_UnitedStates.JHU_ConfirmedDeaths.missing|SanMateo_California_UnitedStates.JHU_ConfirmedRecoveries.data|SanMateo_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|54010.0|0|53828.0|0|571.0|0|0.0|100
0|2021-10-18|54075.0|0|53970.0|0|571.0|0|0.0|100
0|2021-10-19|54100.0|0|54023.0|0|622.0|0|0.0|100
0|2021-10-20|54154.0|0|54046.0|0|622.0|0|0.0|100
0|2021-10-21|54228.0|0|54112.0|0|622.0|0|0.0|100
0|2021-10-22|54232.0|0|54168.0|0|623.0|0|0.0|100
0|2021-10-23|54244.0|0|54168.0|0|623.0|0|0.0|100
0|2021-10-24|54254.0|0|54168.0|0|623.0|0|0.0|100
0|2021-10-25|54467.0|0|54168.0|0|623.0|0|0.0|100
0|2021-10-26|54525.0|0|54376.0|0|623.0|0|0.0|100
0|2021-10-27|54591.0|0|54423.0|0|623.0|0|0.0|100
0|2021-10-28|54654.0|0|54528.0|0|623.0|0|0.0|100
0|2021-10-29|54657.0|0|54579.0|0|625.0|0|0.0|100
0|2021-10-30|54662.0|0|54579.0|0|625.0|0|0.0|100
0|2021-10-31|54863.0|0|54579.0|0|625.0|0|0.0|100
0|2021-11-01|54895.0|0|54780.0|0|625.0|0|0.0|100
0|2021-11-02|54932.0|0|54810.0|0|625.0|0|0.0|100
0|2021-11-03|54977.0|0|54847.0|0|625.0|0|0.0|100
0|2021-11-04|55023.0|0|54977.0|0|625.0|0|0.0|100
0|2021-11-05|55023.0|0|55023.0|0|626.0|0|0.0|100
0|2021-11-06|55023.0|0|55023.0|0|626.0|0|0.0|100
0|2021-11-07|55023.0|0|55023.0|0|626.0|0|0.0|100
0|2021-11-08|55181.0|0|55181.0|0|626.0|0|0.0|100
0|2021-11-09|55239.0|0|55239.0|0|626.0|0|0.0|100
0|2021-11-10|55239.0|0|55278.0|0|626.0|0|0.0|100
0|2021-11-11|55364.0|0|55364.0|0|626.0|0|0.0|100
0|2021-11-12|55364.0|0|55364.0|0|626.0|0|0.0|100
0|2021-11-13|55495.0|0|55495.0|0|626.0|0|0.0|100
0|2021-11-14|55495.0|0|55495.0|0|626.0|0|0.0|100
0|2021-11-15|55620.0|0|55620.0|0|626.0|0|0.0|100
0|2021-11-16|55652.0|0|55652.0|0|626.0|0|0.0|100
0|2021-11-17|55676.0|0|55676.0|0|626.0|0|0.0|100
0|2021-11-18|55790.0|0|55790.0|0|626.0|0|0.0|100
0|2021-11-19|55830.0|0|55830.0|0|627.0|0|0.0|100
0|2021-11-20|55830.0|0|55830.0|0|627.0|0|0.0|100
0|2021-11-21|55830.0|0|55830.0|0|627.0|0|0.0|100
0|2021-11-22|55988.0|0|55988.0|0|627.0|0|0.0|100
0|2021-11-23|56028.0|0|56028.0|0|627.0|0|0.0|100
0|2021-11-24|56058.0|0|56058.0|0|627.0|0|0.0|100
0|2021-11-25|56058.0|0|56058.0|0|627.0|0|0.0|100
0|2021-11-26|56058.0|0|56058.0|0|629.0|0|0.0|100
0|2021-11-27|56058.0|0|56058.0|0|629.0|0|0.0|100
0|2021-11-28|56058.0|0|56058.0|0|629.0|0|0.0|100
0|2021-11-29|56265.0|0|56265.0|0|629.0|0|0.0|100
0|2021-11-30|56320.0|0|56320.0|0|629.0|0|0.0|100
0|2021-12-01|56320.0|0|56354.0|0|629.0|0|0.0|100
0|2021-12-02|56522.0|0|56522.0|0|629.0|0|0.0|100
0|2021-12-03|56585.0|0|56585.0|0|631.0|0|0.0|100
0|2021-12-04|56585.0|0|56585.0|0|631.0|0|0.0|100
0|2021-12-05|56585.0|0|56585.0|0|631.0|0|0.0|100
0|2021-12-06|56861.0|0|56861.0|0|631.0|0|0.0|100
0|2021-12-07|56861.0|0|56923.0|0|631.0|0|0.0|100
0|2021-12-08|56974.0|0|56974.0|0|631.0|0|0.0|100
0|2021-12-09|57128.0|0|57128.0|0|631.0|0|0.0|100
0|2021-12-10|57192.0|0|57192.0|0|631.0|0|0.0|100
0|2021-12-11|57192.0|0|57192.0|0|631.0|0|0.0|100
0|2021-12-12|57192.0|0|57192.0|0|631.0|0|0.0|100
0|2021-12-13|57413.0|0|57413.0|0|631.0|0|0.0|100
0|2021-12-14|57413.0|0|57477.0|0|631.0|0|0.0|100
0|2021-12-15|57509.0|0|57509.0|0|631.0|0|0.0|100
0|2021-12-16|57630.0|0|57630.0|0|631.0|0|0.0|100
0|2021-12-17|57703.0|0|57703.0|0|635.0|0|0.0|100
0|2021-12-18|57703.0|0|57703.0|0|635.0|0|0.0|100
0|2021-12-19|57703.0|0|57703.0|0|635.0|0|0.0|100
0|2021-12-20|58105.0|0|58105.0|0|635.0|0|0.0|100
