|dates|Platte_Wyoming_UnitedStates.JHU_ConfirmedCases.data|Platte_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|Platte_Wyoming_UnitedStates.NYT_ConfirmedCases.data|Platte_Wyoming_UnitedStates.NYT_ConfirmedCases.missing|Platte_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|Platte_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|Platte_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|Platte_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1297.0|0|1297.0|0|24.0|0|0.0|100
0|2021-10-18|1322.0|0|1322.0|0|24.0|0|0.0|100
0|2021-10-19|1328.0|0|1328.0|0|24.0|0|0.0|100
0|2021-10-20|1332.0|0|1332.0|0|24.0|0|0.0|100
0|2021-10-21|1335.0|0|1335.0|0|25.0|0|0.0|100
0|2021-10-22|1344.0|0|1344.0|0|25.0|0|0.0|100
0|2021-10-23|1344.0|0|1344.0|0|25.0|0|0.0|100
0|2021-10-24|1344.0|0|1344.0|0|25.0|0|0.0|100
0|2021-10-25|1360.0|0|1360.0|0|25.0|0|0.0|100
0|2021-10-26|1366.0|0|1366.0|0|25.0|0|0.0|100
0|2021-10-27|1371.0|0|1371.0|0|25.0|0|0.0|100
0|2021-10-28|1373.0|0|1373.0|0|25.0|0|0.0|100
0|2021-10-29|1374.0|0|1374.0|0|25.0|0|0.0|100
0|2021-10-30|1374.0|0|1374.0|0|25.0|0|0.0|100
0|2021-10-31|1374.0|0|1374.0|0|25.0|0|0.0|100
0|2021-11-01|1391.0|0|1391.0|0|25.0|0|0.0|100
0|2021-11-02|1399.0|0|1399.0|0|25.0|0|0.0|100
0|2021-11-03|1404.0|0|1404.0|0|25.0|0|0.0|100
0|2021-11-04|1408.0|0|1408.0|0|25.0|0|0.0|100
0|2021-11-05|1417.0|0|1417.0|0|25.0|0|0.0|100
0|2021-11-06|1417.0|0|1417.0|0|25.0|0|0.0|100
0|2021-11-07|1417.0|0|1417.0|0|25.0|0|0.0|100
0|2021-11-08|1439.0|0|1439.0|0|25.0|0|0.0|100
0|2021-11-09|1442.0|0|1442.0|0|26.0|0|0.0|100
0|2021-11-10|1442.0|0|1448.0|0|26.0|0|0.0|100
0|2021-11-11|1448.0|0|1448.0|0|26.0|0|0.0|100
0|2021-11-12|1458.0|0|1458.0|0|26.0|0|0.0|100
0|2021-11-13|1458.0|0|1458.0|0|26.0|0|0.0|100
0|2021-11-14|1458.0|0|1458.0|0|26.0|0|0.0|100
0|2021-11-15|1468.0|0|1468.0|0|26.0|0|0.0|100
0|2021-11-16|1476.0|0|1476.0|0|26.0|0|0.0|100
0|2021-11-17|1481.0|0|1481.0|0|26.0|0|0.0|100
0|2021-11-18|1488.0|0|1488.0|0|26.0|0|0.0|100
0|2021-11-19|1496.0|0|1496.0|0|26.0|0|0.0|100
0|2021-11-20|1496.0|0|1496.0|0|26.0|0|0.0|100
0|2021-11-21|1496.0|0|1496.0|0|26.0|0|0.0|100
0|2021-11-22|1504.0|0|1504.0|0|26.0|0|0.0|100
0|2021-11-23|1517.0|0|1517.0|0|26.0|0|0.0|100
0|2021-11-24|1518.0|0|1518.0|0|26.0|0|0.0|100
0|2021-11-25|1518.0|0|1518.0|0|26.0|0|0.0|100
0|2021-11-26|1518.0|0|1518.0|0|26.0|0|0.0|100
0|2021-11-27|1518.0|0|1518.0|0|26.0|0|0.0|100
0|2021-11-28|1518.0|0|1518.0|0|26.0|0|0.0|100
0|2021-11-29|1530.0|0|1530.0|0|26.0|0|0.0|100
0|2021-11-30|1538.0|0|1538.0|0|29.0|0|0.0|100
0|2021-12-01|1542.0|0|1542.0|0|29.0|0|0.0|100
0|2021-12-02|1542.0|0|1542.0|0|29.0|0|0.0|100
0|2021-12-03|1547.0|0|1547.0|0|29.0|0|0.0|100
0|2021-12-04|1547.0|0|1547.0|0|29.0|0|0.0|100
0|2021-12-05|1547.0|0|1547.0|0|29.0|0|0.0|100
0|2021-12-06|1549.0|0|1549.0|0|29.0|0|0.0|100
0|2021-12-07|1555.0|0|1555.0|0|33.0|0|0.0|100
0|2021-12-08|1556.0|0|1556.0|0|33.0|0|0.0|100
0|2021-12-09|1558.0|0|1558.0|0|33.0|0|0.0|100
0|2021-12-10|1561.0|0|1561.0|0|33.0|0|0.0|100
0|2021-12-11|1561.0|0|1561.0|0|33.0|0|0.0|100
0|2021-12-12|1561.0|0|1561.0|0|33.0|0|0.0|100
0|2021-12-13|1563.0|0|1563.0|0|33.0|0|0.0|100
0|2021-12-14|1563.0|0|1564.0|0|33.0|0|0.0|100
0|2021-12-15|1564.0|0|1564.0|0|33.0|0|0.0|100
0|2021-12-16|1565.0|0|1565.0|0|33.0|0|0.0|100
0|2021-12-17|1565.0|0|1565.0|0|33.0|0|0.0|100
0|2021-12-18|1565.0|0|1565.0|0|33.0|0|0.0|100
0|2021-12-19|1565.0|0|1565.0|0|33.0|0|0.0|100
0|2021-12-20|1574.0|0|1574.0|0|33.0|0|0.0|100
0|2021-12-21|1575.0|0|1575.0|0|35.0|0|0.0|100
0|2021-12-22|1576.0|0|1576.0|0|35.0|0|0.0|100
0|2021-12-23|1576.0|0|1576.0|0|35.0|0|0.0|100
0|2021-12-24|1576.0|0|1576.0|0|35.0|0|0.0|100
0|2021-12-25|1576.0|0|1576.0|0|35.0|0|0.0|100
0|2021-12-26|1576.0|0|1576.0|0|35.0|0|0.0|100
0|2021-12-27|1577.0|0|1577.0|0|35.0|0|0.0|100
0|2021-12-28|1577.0|0|1577.0|0|35.0|0|0.0|100
0|2021-12-29|1578.0|0|1578.0|0|35.0|0|0.0|100
0|2021-12-30|1579.0|0|1579.0|0|35.0|0|0.0|100
0|2021-12-31|1579.0|0|1579.0|0|35.0|0|0.0|100
0|2022-01-01|1579.0|0|1579.0|0|35.0|0|0.0|100
0|2022-01-02|1579.0|0|1579.0|0|35.0|0|0.0|100
0|2022-01-03|1585.0|0|1585.0|0|35.0|0|0.0|100
0|2022-01-04|1589.0|0|1589.0|0|37.0|0|0.0|100
0|2022-01-05|1590.0|0|1590.0|0|37.0|0|0.0|100
0|2022-01-06|1595.0|0|1595.0|0|37.0|0|0.0|100
0|2022-01-07|1595.0|0|1598.0|0|37.0|0|0.0|100
0|2022-01-08|1598.0|0|1598.0|0|37.0|0|0.0|100
0|2022-01-09|1598.0|0|1598.0|0|37.0|0|0.0|100
0|2022-01-10|1607.0|0|1607.0|0|37.0|0|0.0|100
0|2022-01-11|1612.0|0|1612.0|0|37.0|0|0.0|100
0|2022-01-12|1616.0|0|1616.0|0|37.0|0|0.0|100
0|2022-01-13|1616.0|0|1628.0|0|37.0|0|0.0|100
0|2022-01-14|1643.0|0|1643.0|0|37.0|0|0.0|100
0|2022-01-15|1643.0|0|1643.0|0|37.0|0|0.0|100
0|2022-01-16|1643.0|0|1643.0|0|37.0|0|0.0|100
0|2022-01-17|1643.0|0|0.0|100|37.0|0|0.0|100
