|dates|Smith_Texas_UnitedStates.JHU_ConfirmedCases.data|Smith_Texas_UnitedStates.JHU_ConfirmedCases.missing|Smith_Texas_UnitedStates.NYT_ConfirmedCases.data|Smith_Texas_UnitedStates.NYT_ConfirmedCases.missing|Smith_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Smith_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Smith_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Smith_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|36039.0|0|36039.0|0|758.0|0|0.0|100
0|2021-10-18|36039.0|0|36039.0|0|758.0|0|0.0|100
0|2021-10-19|36127.0|0|36127.0|0|759.0|0|0.0|100
0|2021-10-20|36127.0|0|36127.0|0|763.0|0|0.0|100
0|2021-10-21|36127.0|0|36127.0|0|770.0|0|0.0|100
0|2021-10-22|36127.0|0|36127.0|0|772.0|0|0.0|100
0|2021-10-23|36127.0|0|36127.0|0|775.0|0|0.0|100
0|2021-10-24|36283.0|0|36283.0|0|775.0|0|0.0|100
0|2021-10-25|36283.0|0|36283.0|0|775.0|0|0.0|100
0|2021-10-26|36437.0|0|36437.0|0|776.0|0|0.0|100
0|2021-10-27|36437.0|0|36437.0|0|777.0|0|0.0|100
0|2021-10-28|36437.0|0|36437.0|0|780.0|0|0.0|100
0|2021-10-29|36535.0|0|36535.0|0|782.0|0|0.0|100
0|2021-10-30|36535.0|0|36535.0|0|785.0|0|0.0|100
0|2021-10-31|36535.0|0|36535.0|0|786.0|0|0.0|100
0|2021-11-01|36535.0|0|36535.0|0|787.0|0|0.0|100
0|2021-11-02|36627.0|0|36627.0|0|787.0|0|0.0|100
0|2021-11-03|36627.0|0|36627.0|0|790.0|0|0.0|100
0|2021-11-04|36627.0|0|36627.0|0|790.0|0|0.0|100
0|2021-11-05|36719.0|0|36719.0|0|791.0|0|0.0|100
0|2021-11-06|36719.0|0|36719.0|0|797.0|0|0.0|100
0|2021-11-07|36719.0|0|36719.0|0|797.0|0|0.0|100
0|2021-11-08|36719.0|0|36719.0|0|797.0|0|0.0|100
0|2021-11-09|36804.0|0|36804.0|0|797.0|0|0.0|100
0|2021-11-10|36804.0|0|36804.0|0|797.0|0|0.0|100
0|2021-11-11|36804.0|0|36804.0|0|804.0|0|0.0|100
0|2021-11-12|36884.0|0|36884.0|0|807.0|0|0.0|100
0|2021-11-13|36884.0|0|36884.0|0|809.0|0|0.0|100
0|2021-11-14|36884.0|0|36884.0|0|809.0|0|0.0|100
0|2021-11-15|36884.0|0|36884.0|0|809.0|0|0.0|100
0|2021-11-16|36884.0|0|36884.0|0|811.0|0|0.0|100
0|2021-11-17|36952.0|0|36952.0|0|811.0|0|0.0|100
0|2021-11-18|36952.0|0|36952.0|0|817.0|0|0.0|100
0|2021-11-19|36952.0|0|36952.0|0|818.0|0|0.0|100
