|dates|Albany_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Albany_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Albany_NewYork_UnitedStates.Male_Total_Population.data|Albany_NewYork_UnitedStates.Male_Total_Population.missing|Albany_NewYork_UnitedStates.Female_Total_Population.data|Albany_NewYork_UnitedStates.Female_Total_Population.missing|Albany_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Albany_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-18|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-19|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-20|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-21|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-22|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-23|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-24|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-25|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-26|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-27|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-28|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-29|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-30|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-10-31|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-01|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-02|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-03|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-04|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-05|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-06|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-07|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-08|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-09|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-10|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-11|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-12|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-13|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-14|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-15|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-16|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-17|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-18|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-19|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-20|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-21|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-22|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-23|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-24|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-25|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-26|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-27|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-28|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-29|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-11-30|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-12-01|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-12-02|52073.0|0|148733.0|0|158384.0|0|56359.0|0
0|2021-12-03|52073.0|0|148733.0|0|158384.0|0|56359.0|0
