|dates|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Franklin_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|21138.0|0|21138.0|0|432.0|0|0.0|100
0|2021-10-18|21165.0|0|21165.0|0|436.0|0|0.0|100
0|2021-10-19|21284.0|0|21284.0|0|438.0|0|0.0|100
0|2021-10-20|21328.0|0|21328.0|0|444.0|0|0.0|100
0|2021-10-21|21375.0|0|21375.0|0|447.0|0|0.0|100
0|2021-10-22|21442.0|0|21442.0|0|450.0|0|0.0|100
0|2021-10-23|21477.0|0|21477.0|0|450.0|0|0.0|100
0|2021-10-24|21516.0|0|21516.0|0|450.0|0|0.0|100
0|2021-10-25|21539.0|0|21539.0|0|450.0|0|0.0|100
0|2021-10-26|21623.0|0|21623.0|0|451.0|0|0.0|100
0|2021-10-27|21689.0|0|21689.0|0|455.0|0|0.0|100
0|2021-10-28|21755.0|0|21755.0|0|457.0|0|0.0|100
0|2021-10-29|21816.0|0|21816.0|0|459.0|0|0.0|100
0|2021-10-30|21873.0|0|21873.0|0|460.0|0|0.0|100
0|2021-10-31|21904.0|0|21904.0|0|460.0|0|0.0|100
0|2021-11-01|21904.0|0|21904.0|0|460.0|0|0.0|100
0|2021-11-02|21998.0|0|21998.0|0|461.0|0|0.0|100
0|2021-11-03|22054.0|0|22054.0|0|465.0|0|0.0|100
0|2021-11-04|22117.0|0|22117.0|0|465.0|0|0.0|100
0|2021-11-05|22170.0|0|22170.0|0|467.0|0|0.0|100
0|2021-11-06|22207.0|0|22207.0|0|467.0|0|0.0|100
0|2021-11-07|22236.0|0|22236.0|0|467.0|0|0.0|100
0|2021-11-08|22263.0|0|22263.0|0|467.0|0|0.0|100
0|2021-11-09|22367.0|0|22367.0|0|468.0|0|0.0|100
0|2021-11-10|22367.0|0|22412.0|0|468.0|0|0.0|100
0|2021-11-11|22463.0|0|22463.0|0|475.0|0|0.0|100
0|2021-11-12|22532.0|0|22532.0|0|475.0|0|0.0|100
