|dates|Jackson_Georgia_UnitedStates.JHU_ConfirmedCases.data|Jackson_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Georgia_UnitedStates.NYT_ConfirmedCases.data|Jackson_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|14575.0|0|14602.0|0|201.0|0|0.0|100
0|2021-10-18|14611.0|0|14637.0|0|202.0|0|0.0|100
0|2021-10-19|14621.0|0|14647.0|0|204.0|0|0.0|100
0|2021-10-20|14637.0|0|14663.0|0|205.0|0|0.0|100
0|2021-10-21|14654.0|0|14680.0|0|207.0|0|0.0|100
0|2021-10-22|14677.0|0|14703.0|0|207.0|0|0.0|100
0|2021-10-23|14677.0|0|14703.0|0|207.0|0|0.0|100
0|2021-10-24|14677.0|0|14703.0|0|207.0|0|0.0|100
0|2021-10-25|14699.0|0|14726.0|0|208.0|0|0.0|100
0|2021-10-26|14709.0|0|14736.0|0|208.0|0|0.0|100
0|2021-10-27|14720.0|0|14747.0|0|211.0|0|0.0|100
0|2021-10-28|14729.0|0|14756.0|0|212.0|0|0.0|100
0|2021-10-29|14740.0|0|14767.0|0|213.0|0|0.0|100
0|2021-10-30|14740.0|0|14767.0|0|213.0|0|0.0|100
0|2021-10-31|14740.0|0|14767.0|0|213.0|0|0.0|100
0|2021-11-01|14758.0|0|14786.0|0|214.0|0|0.0|100
0|2021-11-02|14774.0|0|14802.0|0|213.0|0|0.0|100
0|2021-11-03|14777.0|0|14805.0|0|213.0|0|0.0|100
0|2021-11-04|14787.0|0|14815.0|0|215.0|0|0.0|100
0|2021-11-05|14794.0|0|14822.0|0|215.0|0|0.0|100
0|2021-11-06|14794.0|0|14822.0|0|215.0|0|0.0|100
