|dates|Jasper_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Jasper_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Jasper_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Jasper_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Jasper_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Jasper_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Jasper_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Jasper_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3282.0|0|3282.0|0|65.0|0|0.0|100
0|2021-10-18|3285.0|0|3285.0|0|65.0|0|0.0|100
0|2021-10-19|3292.0|0|3292.0|0|65.0|0|0.0|100
0|2021-10-20|3295.0|0|3295.0|0|65.0|0|0.0|100
0|2021-10-21|3299.0|0|3299.0|0|65.0|0|0.0|100
0|2021-10-22|3299.0|0|3299.0|0|65.0|0|0.0|100
0|2021-10-23|3299.0|0|3299.0|0|65.0|0|0.0|100
0|2021-10-24|3299.0|0|3299.0|0|65.0|0|0.0|100
0|2021-10-25|3301.0|0|3301.0|0|65.0|0|0.0|100
0|2021-10-26|3365.0|0|3365.0|0|65.0|0|0.0|100
0|2021-10-27|3366.0|0|3366.0|0|65.0|0|0.0|100
0|2021-10-28|3367.0|0|3367.0|0|65.0|0|0.0|100
0|2021-10-29|3369.0|0|3369.0|0|65.0|0|0.0|100
0|2021-10-30|3369.0|0|3369.0|0|65.0|0|0.0|100
0|2021-10-31|3369.0|0|3369.0|0|65.0|0|0.0|100
0|2021-11-01|3368.0|0|3368.0|0|65.0|0|0.0|100
0|2021-11-02|3371.0|0|3371.0|0|65.0|0|0.0|100
0|2021-11-03|3374.0|0|3374.0|0|65.0|0|0.0|100
0|2021-11-04|3375.0|0|3375.0|0|65.0|0|0.0|100
0|2021-11-05|3377.0|0|3377.0|0|65.0|0|0.0|100
0|2021-11-06|3377.0|0|3377.0|0|65.0|0|0.0|100
0|2021-11-07|3377.0|0|3377.0|0|65.0|0|0.0|100
0|2021-11-08|3378.0|0|3378.0|0|65.0|0|0.0|100
0|2021-11-09|3381.0|0|3381.0|0|66.0|0|0.0|100
0|2021-11-10|3381.0|0|3382.0|0|66.0|0|0.0|100
0|2021-11-11|3382.0|0|3382.0|0|66.0|0|0.0|100
0|2021-11-12|3386.0|0|3386.0|0|66.0|0|0.0|100
0|2021-11-13|3386.0|0|3386.0|0|66.0|0|0.0|100
0|2021-11-14|3386.0|0|3386.0|0|66.0|0|0.0|100
0|2021-11-15|3390.0|0|3390.0|0|66.0|0|0.0|100
0|2021-11-16|3391.0|0|3391.0|0|66.0|0|0.0|100
0|2021-11-17|3392.0|0|3392.0|0|66.0|0|0.0|100
0|2021-11-18|3392.0|0|3392.0|0|66.0|0|0.0|100
0|2021-11-19|3393.0|0|3393.0|0|66.0|0|0.0|100
0|2021-11-20|3393.0|0|3393.0|0|66.0|0|0.0|100
0|2021-11-21|3393.0|0|3393.0|0|66.0|0|0.0|100
0|2021-11-22|3399.0|0|3399.0|0|66.0|0|0.0|100
0|2021-11-23|3400.0|0|3400.0|0|66.0|0|0.0|100
0|2021-11-24|3401.0|0|3401.0|0|66.0|0|0.0|100
0|2021-11-25|3401.0|0|3401.0|0|66.0|0|0.0|100
0|2021-11-26|3401.0|0|3401.0|0|66.0|0|0.0|100
0|2021-11-27|3401.0|0|3401.0|0|66.0|0|0.0|100
0|2021-11-28|3401.0|0|3401.0|0|66.0|0|0.0|100
0|2021-11-29|3406.0|0|3406.0|0|66.0|0|0.0|100
0|2021-11-30|3408.0|0|3408.0|0|66.0|0|0.0|100
0|2021-12-01|3409.0|0|3409.0|0|66.0|0|0.0|100
0|2021-12-02|3409.0|0|3412.0|0|66.0|0|0.0|100
0|2021-12-03|3412.0|0|3412.0|0|66.0|0|0.0|100
0|2021-12-04|3412.0|0|3412.0|0|66.0|0|0.0|100
0|2021-12-05|3412.0|0|3412.0|0|66.0|0|0.0|100
0|2021-12-06|3415.0|0|3415.0|0|66.0|0|0.0|100
0|2021-12-07|3416.0|0|3416.0|0|67.0|0|0.0|100
0|2021-12-08|3418.0|0|3418.0|0|67.0|0|0.0|100
0|2021-12-09|3421.0|0|3421.0|0|67.0|0|0.0|100
0|2021-12-10|3421.0|0|3421.0|0|66.0|0|0.0|100
0|2021-12-11|3421.0|0|3421.0|0|66.0|0|0.0|100
0|2021-12-12|3421.0|0|3421.0|0|66.0|0|0.0|100
0|2021-12-13|3421.0|0|3421.0|0|66.0|0|0.0|100
0|2021-12-14|3421.0|0|3422.0|0|66.0|0|0.0|100
0|2021-12-15|3422.0|0|3422.0|0|66.0|0|0.0|100
0|2021-12-16|3424.0|0|3424.0|0|66.0|0|0.0|100
0|2021-12-17|3424.0|0|3424.0|0|66.0|0|0.0|100
0|2021-12-18|3424.0|0|3424.0|0|66.0|0|0.0|100
0|2021-12-19|3424.0|0|3424.0|0|66.0|0|0.0|100
0|2021-12-20|3427.0|0|3427.0|0|66.0|0|0.0|100
0|2021-12-21|3430.0|0|3430.0|0|66.0|0|0.0|100
0|2021-12-22|3430.0|0|3430.0|0|66.0|0|0.0|100
0|2021-12-23|3430.0|0|3430.0|0|66.0|0|0.0|100
0|2021-12-24|3430.0|0|3430.0|0|66.0|0|0.0|100
0|2021-12-25|3430.0|0|3430.0|0|66.0|0|0.0|100
0|2021-12-26|3430.0|0|3430.0|0|66.0|0|0.0|100
0|2021-12-27|3453.0|0|3453.0|0|66.0|0|0.0|100
0|2021-12-28|3467.0|0|3467.0|0|66.0|0|0.0|100
0|2021-12-29|3475.0|0|3475.0|0|66.0|0|0.0|100
0|2021-12-30|3486.0|0|3486.0|0|66.0|0|0.0|100
0|2021-12-31|3486.0|0|3486.0|0|66.0|0|0.0|100
0|2022-01-01|3486.0|0|3486.0|0|66.0|0|0.0|100
0|2022-01-02|3486.0|0|3486.0|0|66.0|0|0.0|100
0|2022-01-03|3593.0|0|3593.0|0|66.0|0|0.0|100
0|2022-01-04|3633.0|0|3633.0|0|66.0|0|0.0|100
0|2022-01-05|3686.0|0|3686.0|0|66.0|0|0.0|100
0|2022-01-06|3719.0|0|3719.0|0|66.0|0|0.0|100
0|2022-01-07|3756.0|0|3756.0|0|66.0|0|0.0|100
0|2022-01-08|3756.0|0|3756.0|0|66.0|0|0.0|100
0|2022-01-09|3756.0|0|3756.0|0|66.0|0|0.0|100
0|2022-01-10|3756.0|0|3790.0|0|66.0|0|0.0|100
0|2022-01-11|3840.0|0|3840.0|0|66.0|0|0.0|100
