|dates|Clay_Georgia_UnitedStates.JHU_ConfirmedCases.data|Clay_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Clay_Georgia_UnitedStates.NYT_ConfirmedCases.data|Clay_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Clay_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-18|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-19|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-20|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-21|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-22|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-23|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-24|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-25|313.0|0|315.0|0|4.0|0|0.0|100
0|2021-10-26|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-27|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-28|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-29|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-30|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-31|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-01|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-02|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-03|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-04|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-05|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-06|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-07|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-08|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-09|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-10|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-11|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-12|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-13|312.0|0|314.0|0|4.0|0|0.0|100
0|2021-11-14|312.0|0|314.0|0|4.0|0|0.0|100
