|dates|Mecklenburg_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Mecklenburg_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Mecklenburg_NorthCarolina_UnitedStates.Male_Total_Population.data|Mecklenburg_NorthCarolina_UnitedStates.Male_Total_Population.missing|Mecklenburg_NorthCarolina_UnitedStates.Female_Total_Population.data|Mecklenburg_NorthCarolina_UnitedStates.Female_Total_Population.missing|Mecklenburg_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Mecklenburg_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-18|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-19|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-20|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-21|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-22|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-23|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-24|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-25|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-26|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-27|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-28|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-29|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-30|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-10-31|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-01|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-02|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-03|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-04|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-05|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-06|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-07|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-08|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-09|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-10|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-11|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-12|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-13|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-14|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-15|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-16|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-17|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-18|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-19|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-20|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-21|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-22|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-23|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-24|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-25|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-26|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-27|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-28|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-29|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-11-30|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-12-01|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-12-02|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-12-03|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-12-04|122549.0|0|526014.0|0|567887.0|0|257713.0|0
0|2021-12-05|122549.0|0|526014.0|0|567887.0|0|257713.0|0
