|dates|Graham_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Graham_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Graham_Kansas_UnitedStates.Male_Total_Population.data|Graham_Kansas_UnitedStates.Male_Total_Population.missing|Graham_Kansas_UnitedStates.Female_Total_Population.data|Graham_Kansas_UnitedStates.Female_Total_Population.missing|Graham_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Graham_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-18|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-19|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-20|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-21|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-22|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-23|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-24|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-25|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-26|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-27|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-28|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-29|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-30|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-10-31|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-01|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-02|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-03|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-04|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-05|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-06|684.0|0|1236.0|0|1256.0|0|484.0|0
0|2021-11-07|684.0|0|1236.0|0|1256.0|0|484.0|0
