|dates|Burke_Georgia_UnitedStates.JHU_ConfirmedCases.data|Burke_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Burke_Georgia_UnitedStates.NYT_ConfirmedCases.data|Burke_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Burke_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Burke_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Burke_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Burke_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3711.0|0|3729.0|0|79.0|0|0.0|100
0|2021-10-18|3710.0|0|3729.0|0|81.0|0|0.0|100
0|2021-10-19|3714.0|0|3733.0|0|81.0|0|0.0|100
0|2021-10-20|3715.0|0|3734.0|0|82.0|0|0.0|100
0|2021-10-21|3716.0|0|3735.0|0|83.0|0|0.0|100
0|2021-10-22|3718.0|0|3737.0|0|83.0|0|0.0|100
0|2021-10-23|3718.0|0|3737.0|0|83.0|0|0.0|100
0|2021-10-24|3718.0|0|3737.0|0|83.0|0|0.0|100
0|2021-10-25|3720.0|0|3741.0|0|84.0|0|0.0|100
0|2021-10-26|3721.0|0|3742.0|0|83.0|0|0.0|100
0|2021-10-27|3721.0|0|3742.0|0|83.0|0|0.0|100
0|2021-10-28|3722.0|0|3743.0|0|84.0|0|0.0|100
0|2021-10-29|3727.0|0|3748.0|0|84.0|0|0.0|100
0|2021-10-30|3727.0|0|3748.0|0|84.0|0|0.0|100
0|2021-10-31|3727.0|0|3748.0|0|84.0|0|0.0|100
0|2021-11-01|3733.0|0|3753.0|0|84.0|0|0.0|100
0|2021-11-02|3737.0|0|3757.0|0|84.0|0|0.0|100
0|2021-11-03|3739.0|0|3759.0|0|84.0|0|0.0|100
0|2021-11-04|3741.0|0|3761.0|0|84.0|0|0.0|100
0|2021-11-05|3741.0|0|3761.0|0|84.0|0|0.0|100
0|2021-11-06|3741.0|0|3761.0|0|84.0|0|0.0|100
0|2021-11-07|3741.0|0|3761.0|0|84.0|0|0.0|100
0|2021-11-08|3741.0|0|3761.0|0|84.0|0|0.0|100
0|2021-11-09|3741.0|0|3761.0|0|84.0|0|0.0|100
0|2021-11-10|3741.0|0|3762.0|0|84.0|0|0.0|100
0|2021-11-11|3742.0|0|3762.0|0|84.0|0|0.0|100
0|2021-11-12|3743.0|0|3763.0|0|84.0|0|0.0|100
0|2021-11-13|3743.0|0|3763.0|0|84.0|0|0.0|100
0|2021-11-14|3743.0|0|3763.0|0|84.0|0|0.0|100
0|2021-11-15|3746.0|0|3766.0|0|84.0|0|0.0|100
0|2021-11-16|3746.0|0|3766.0|0|84.0|0|0.0|100
0|2021-11-17|3747.0|0|3767.0|0|84.0|0|0.0|100
0|2021-11-18|3749.0|0|3769.0|0|85.0|0|0.0|100
0|2021-11-19|3749.0|0|3769.0|0|85.0|0|0.0|100
0|2021-11-20|3749.0|0|3769.0|0|85.0|0|0.0|100
0|2021-11-21|3749.0|0|3769.0|0|85.0|0|0.0|100
0|2021-11-22|3751.0|0|3772.0|0|85.0|0|0.0|100
0|2021-11-23|3752.0|0|3773.0|0|85.0|0|0.0|100
0|2021-11-24|3749.0|0|3770.0|0|85.0|0|0.0|100
0|2021-11-25|3749.0|0|3770.0|0|85.0|0|0.0|100
0|2021-11-26|3749.0|0|3770.0|0|85.0|0|0.0|100
0|2021-11-27|3749.0|0|3770.0|0|85.0|0|0.0|100
0|2021-11-28|3749.0|0|3770.0|0|85.0|0|0.0|100
0|2021-11-29|3756.0|0|3777.0|0|85.0|0|0.0|100
0|2021-11-30|3754.0|0|3775.0|0|85.0|0|0.0|100
0|2021-12-01|3758.0|0|3779.0|0|86.0|0|0.0|100
0|2021-12-02|3758.0|0|3783.0|0|86.0|0|0.0|100
0|2021-12-03|3762.0|0|3783.0|0|86.0|0|0.0|100
0|2021-12-04|3762.0|0|3783.0|0|86.0|0|0.0|100
0|2021-12-05|3762.0|0|3783.0|0|86.0|0|0.0|100
0|2021-12-06|3773.0|0|3794.0|0|86.0|0|0.0|100
0|2021-12-07|3778.0|0|3799.0|0|86.0|0|0.0|100
0|2021-12-08|3780.0|0|3801.0|0|86.0|0|0.0|100
0|2021-12-09|3783.0|0|3804.0|0|86.0|0|0.0|100
0|2021-12-10|3786.0|0|3807.0|0|86.0|0|0.0|100
0|2021-12-11|3786.0|0|3807.0|0|86.0|0|0.0|100
0|2021-12-12|3786.0|0|3807.0|0|86.0|0|0.0|100
0|2021-12-13|3786.0|0|3807.0|0|86.0|0|0.0|100
0|2021-12-14|3786.0|0|3809.0|0|86.0|0|0.0|100
0|2021-12-15|3791.0|0|3812.0|0|86.0|0|0.0|100
0|2021-12-16|3792.0|0|3813.0|0|86.0|0|0.0|100
0|2021-12-17|3795.0|0|3816.0|0|86.0|0|0.0|100
0|2021-12-18|3795.0|0|3816.0|0|86.0|0|0.0|100
0|2021-12-19|3795.0|0|3816.0|0|86.0|0|0.0|100
0|2021-12-20|3800.0|0|3822.0|0|86.0|0|0.0|100
0|2021-12-21|3802.0|0|3824.0|0|86.0|0|0.0|100
0|2021-12-22|3809.0|0|3831.0|0|86.0|0|0.0|100
0|2021-12-23|3816.0|0|3838.0|0|86.0|0|0.0|100
0|2021-12-24|3821.0|0|3843.0|0|86.0|0|0.0|100
0|2021-12-25|3821.0|0|3843.0|0|86.0|0|0.0|100
0|2021-12-26|3821.0|0|3843.0|0|86.0|0|0.0|100
0|2021-12-27|3830.0|0|3852.0|0|86.0|0|0.0|100
0|2021-12-28|3837.0|0|3859.0|0|86.0|0|0.0|100
0|2021-12-29|3870.0|0|3892.0|0|86.0|0|0.0|100
0|2021-12-30|3893.0|0|3915.0|0|87.0|0|0.0|100
0|2021-12-31|3944.0|0|3966.0|0|87.0|0|0.0|100
0|2022-01-01|3944.0|0|3966.0|0|87.0|0|0.0|100
0|2022-01-02|3944.0|0|3966.0|0|87.0|0|0.0|100
0|2022-01-03|3944.0|0|3966.0|0|87.0|0|0.0|100
0|2022-01-04|4013.0|0|4035.0|0|87.0|0|0.0|100
0|2022-01-05|4045.0|0|4067.0|0|87.0|0|0.0|100
0|2022-01-06|4045.0|0|4067.0|0|87.0|0|0.0|100
0|2022-01-07|4045.0|0|4067.0|0|87.0|0|0.0|100
0|2022-01-08|4045.0|0|4067.0|0|87.0|0|0.0|100
0|2022-01-09|4045.0|0|4067.0|0|87.0|0|0.0|100
0|2022-01-10|4196.0|0|4219.0|0|88.0|0|0.0|100
0|2022-01-11|4275.0|0|4298.0|0|88.0|0|0.0|100
0|2022-01-12|4305.0|0|4328.0|0|88.0|0|0.0|100
0|2022-01-13|4305.0|0|4362.0|0|88.0|0|0.0|100
0|2022-01-14|4416.0|0|4439.0|0|88.0|0|0.0|100
0|2022-01-15|4416.0|0|4439.0|0|88.0|0|0.0|100
0|2022-01-16|4416.0|0|4439.0|0|88.0|0|0.0|100
0|2022-01-17|4500.0|0|0.0|100|88.0|0|0.0|100
