|dates|KenaiPeninsula_Alaska_UnitedStates.JHU_ConfirmedCases.data|KenaiPeninsula_Alaska_UnitedStates.JHU_ConfirmedCases.missing|KenaiPeninsula_Alaska_UnitedStates.NYT_ConfirmedCases.data|KenaiPeninsula_Alaska_UnitedStates.NYT_ConfirmedCases.missing|KenaiPeninsula_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|KenaiPeninsula_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|KenaiPeninsula_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|KenaiPeninsula_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10068.0|0|9989.0|0|48.0|0|0.0|100
0|2021-10-18|10068.0|0|9989.0|0|48.0|0|0.0|100
0|2021-10-19|10325.0|0|10246.0|0|55.0|0|0.0|100
0|2021-10-20|10421.0|0|10341.0|0|56.0|0|0.0|100
0|2021-10-21|10507.0|0|10427.0|0|57.0|0|0.0|100
0|2021-10-22|10586.0|0|10506.0|0|57.0|0|0.0|100
0|2021-10-23|10586.0|0|10506.0|0|57.0|0|0.0|100
0|2021-10-24|10586.0|0|10506.0|0|57.0|0|0.0|100
0|2021-10-25|10766.0|0|10686.0|0|57.0|0|0.0|100
0|2021-10-26|10826.0|0|10746.0|0|57.0|0|0.0|100
0|2021-10-27|10866.0|0|10785.0|0|57.0|0|0.0|100
0|2021-10-28|10958.0|0|10877.0|0|59.0|0|0.0|100
0|2021-10-29|11042.0|0|10961.0|0|60.0|0|0.0|100
0|2021-10-30|11042.0|0|10961.0|0|60.0|0|0.0|100
0|2021-10-31|11042.0|0|10961.0|0|60.0|0|0.0|100
0|2021-11-01|11191.0|0|11109.0|0|60.0|0|0.0|100
0|2021-11-02|11239.0|0|11156.0|0|61.0|0|0.0|100
0|2021-11-03|11281.0|0|11198.0|0|62.0|0|0.0|100
0|2021-11-04|11322.0|0|11239.0|0|62.0|0|0.0|100
0|2021-11-05|11367.0|0|11284.0|0|62.0|0|0.0|100
0|2021-11-06|11367.0|0|11284.0|0|62.0|0|0.0|100
0|2021-11-07|11367.0|0|11284.0|0|62.0|0|0.0|100
