|dates|Delta_Colorado_UnitedStates.JHU_ConfirmedCases.data|Delta_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Delta_Colorado_UnitedStates.NYT_ConfirmedCases.data|Delta_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Delta_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Delta_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Delta_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Delta_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3791.0|0|3791.0|0|80.0|0|0.0|100
0|2021-10-18|3820.0|0|3820.0|0|80.0|0|0.0|100
0|2021-10-19|3835.0|0|3835.0|0|81.0|0|0.0|100
0|2021-10-20|3864.0|0|3864.0|0|81.0|0|0.0|100
0|2021-10-21|3886.0|0|3886.0|0|81.0|0|0.0|100
0|2021-10-22|3907.0|0|3907.0|0|82.0|0|0.0|100
0|2021-10-23|3907.0|0|3907.0|0|82.0|0|0.0|100
0|2021-10-24|3907.0|0|3907.0|0|82.0|0|0.0|100
0|2021-10-25|3945.0|0|3945.0|0|82.0|0|0.0|100
0|2021-10-26|3979.0|0|3979.0|0|83.0|0|0.0|100
0|2021-10-27|3990.0|0|3990.0|0|85.0|0|0.0|100
0|2021-10-28|4010.0|0|4010.0|0|85.0|0|0.0|100
0|2021-10-29|4063.0|0|4063.0|0|85.0|0|0.0|100
0|2021-10-30|4063.0|0|4063.0|0|85.0|0|0.0|100
0|2021-10-31|4063.0|0|4063.0|0|85.0|0|0.0|100
0|2021-11-01|4097.0|0|4097.0|0|85.0|0|0.0|100
0|2021-11-02|4118.0|0|4118.0|0|85.0|0|0.0|100
0|2021-11-03|4149.0|0|4149.0|0|85.0|0|0.0|100
0|2021-11-04|4178.0|0|4178.0|0|86.0|0|0.0|100
0|2021-11-05|4208.0|0|4208.0|0|87.0|0|0.0|100
0|2021-11-06|4208.0|0|4208.0|0|87.0|0|0.0|100
0|2021-11-07|4208.0|0|4208.0|0|87.0|0|0.0|100
0|2021-11-08|4246.0|0|4246.0|0|87.0|0|0.0|100
0|2021-11-09|4263.0|0|4263.0|0|88.0|0|0.0|100
0|2021-11-10|4263.0|0|4290.0|0|88.0|0|0.0|100
0|2021-11-11|4306.0|0|4306.0|0|93.0|0|0.0|100
0|2021-11-12|4321.0|0|4321.0|0|94.0|0|0.0|100
0|2021-11-13|4321.0|0|4321.0|0|94.0|0|0.0|100
0|2021-11-14|4321.0|0|4321.0|0|94.0|0|0.0|100
0|2021-11-15|4383.0|0|4383.0|0|94.0|0|0.0|100
0|2021-11-16|4394.0|0|4394.0|0|95.0|0|0.0|100
0|2021-11-17|4414.0|0|4414.0|0|95.0|0|0.0|100
0|2021-11-18|4442.0|0|4442.0|0|95.0|0|0.0|100
0|2021-11-19|4467.0|0|4467.0|0|95.0|0|0.0|100
0|2021-11-20|4467.0|0|4467.0|0|95.0|0|0.0|100
0|2021-11-21|4467.0|0|4467.0|0|95.0|0|0.0|100
0|2021-11-22|4474.0|0|4474.0|0|95.0|0|0.0|100
0|2021-11-23|4507.0|0|4507.0|0|96.0|0|0.0|100
0|2021-11-24|4520.0|0|4520.0|0|96.0|0|0.0|100
0|2021-11-25|4535.0|0|4535.0|0|96.0|0|0.0|100
0|2021-11-26|4536.0|0|4535.0|0|96.0|0|0.0|100
0|2021-11-27|4536.0|0|4535.0|0|96.0|0|0.0|100
0|2021-11-28|4536.0|0|4536.0|0|96.0|0|0.0|100
0|2021-11-29|4563.0|0|4563.0|0|96.0|0|0.0|100
0|2021-11-30|4566.0|0|4566.0|0|97.0|0|0.0|100
0|2021-12-01|4566.0|0|4579.0|0|97.0|0|0.0|100
0|2021-12-02|4591.0|0|4591.0|0|98.0|0|0.0|100
0|2021-12-03|4609.0|0|4600.0|0|99.0|0|0.0|100
0|2021-12-04|4609.0|0|4609.0|0|99.0|0|0.0|100
0|2021-12-05|4609.0|0|4609.0|0|99.0|0|0.0|100
0|2021-12-06|4632.0|0|4632.0|0|101.0|0|0.0|100
0|2021-12-07|4647.0|0|4647.0|0|105.0|0|0.0|100
0|2021-12-08|4655.0|0|4655.0|0|107.0|0|0.0|100
0|2021-12-09|4663.0|0|4663.0|0|107.0|0|0.0|100
0|2021-12-10|4674.0|0|4674.0|0|109.0|0|0.0|100
0|2021-12-11|4674.0|0|4674.0|0|109.0|0|0.0|100
0|2021-12-12|4674.0|0|4674.0|0|109.0|0|0.0|100
0|2021-12-13|4683.0|0|4683.0|0|111.0|0|0.0|100
0|2021-12-14|4683.0|0|4690.0|0|111.0|0|0.0|100
0|2021-12-15|4708.0|0|4708.0|0|111.0|0|0.0|100
0|2021-12-16|4723.0|0|4723.0|0|114.0|0|0.0|100
0|2021-12-17|4737.0|0|4737.0|0|114.0|0|0.0|100
0|2021-12-18|4737.0|0|4737.0|0|114.0|0|0.0|100
0|2021-12-19|4737.0|0|4737.0|0|114.0|0|0.0|100
0|2021-12-20|4740.0|0|4740.0|0|115.0|0|0.0|100
0|2021-12-21|4748.0|0|4748.0|0|117.0|0|0.0|100
0|2021-12-22|4751.0|0|4751.0|0|119.0|0|0.0|100
0|2021-12-23|4752.0|0|4752.0|0|119.0|0|0.0|100
0|2021-12-24|4757.0|0|4757.0|0|120.0|0|0.0|100
0|2021-12-25|4757.0|0|4757.0|0|120.0|0|0.0|100
0|2021-12-26|4757.0|0|4757.0|0|120.0|0|0.0|100
0|2021-12-27|4761.0|0|4761.0|0|120.0|0|0.0|100
0|2021-12-28|4773.0|0|4773.0|0|122.0|0|0.0|100
0|2021-12-29|4778.0|0|4778.0|0|122.0|0|0.0|100
0|2021-12-30|4788.0|0|4788.0|0|122.0|0|0.0|100
0|2021-12-31|4798.0|0|4798.0|0|123.0|0|0.0|100
