|dates|Philadelphia_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Philadelphia_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Philadelphia_Pennsylvania_UnitedStates.Male_Total_Population.data|Philadelphia_Pennsylvania_UnitedStates.Male_Total_Population.missing|Philadelphia_Pennsylvania_UnitedStates.Female_Total_Population.data|Philadelphia_Pennsylvania_UnitedStates.Female_Total_Population.missing|Philadelphia_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Philadelphia_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-18|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-19|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-20|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-21|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-22|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-23|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-24|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-25|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-26|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-27|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-28|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-29|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-30|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-10-31|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-01|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-02|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-03|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-04|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-05|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-06|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-07|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-08|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-09|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-10|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-11|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-12|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-13|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-14|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-15|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-16|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-17|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-18|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-19|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-20|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-21|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-22|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-23|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-24|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-25|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-26|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-27|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-28|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-29|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-11-30|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-01|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-02|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-03|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-04|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-05|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-06|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-07|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-08|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-09|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-10|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-11|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-12|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-13|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-14|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-15|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-16|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-17|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-18|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-19|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-20|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-21|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-22|216276.0|0|749572.0|0|834566.0|0|343970.0|0
0|2021-12-23|216276.0|0|749572.0|0|834566.0|0|343970.0|0
