|dates|Custer_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Custer_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Custer_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Custer_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Custer_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Custer_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Custer_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Custer_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1198.0|0|1198.0|0|19.0|0|0.0|100
0|2021-10-18|1200.0|0|1200.0|0|19.0|0|0.0|100
0|2021-10-19|1205.0|0|1205.0|0|19.0|0|0.0|100
0|2021-10-20|1208.0|0|1208.0|0|19.0|0|0.0|100
0|2021-10-21|1213.0|0|1213.0|0|19.0|0|0.0|100
0|2021-10-22|1213.0|0|1213.0|0|19.0|0|0.0|100
0|2021-10-23|1213.0|0|1213.0|0|19.0|0|0.0|100
0|2021-10-24|1213.0|0|1213.0|0|19.0|0|0.0|100
0|2021-10-25|1213.0|0|1213.0|0|19.0|0|0.0|100
0|2021-10-26|1213.0|0|1213.0|0|19.0|0|0.0|100
0|2021-10-27|1239.0|0|1239.0|0|19.0|0|0.0|100
0|2021-10-28|1239.0|0|1239.0|0|19.0|0|0.0|100
0|2021-10-29|1239.0|0|1243.0|0|19.0|0|0.0|100
0|2021-10-30|1239.0|0|1243.0|0|19.0|0|0.0|100
0|2021-10-31|1239.0|0|1249.0|0|19.0|0|0.0|100
0|2021-11-01|1239.0|0|1256.0|0|19.0|0|0.0|100
0|2021-11-02|1239.0|0|1256.0|0|19.0|0|0.0|100
0|2021-11-03|1271.0|0|1271.0|0|19.0|0|0.0|100
0|2021-11-04|1271.0|0|1271.0|0|19.0|0|0.0|100
0|2021-11-05|1271.0|0|1271.0|0|19.0|0|0.0|100
0|2021-11-06|1271.0|0|1271.0|0|19.0|0|0.0|100
0|2021-11-07|1271.0|0|1271.0|0|19.0|0|0.0|100
0|2021-11-08|1299.0|0|1299.0|0|19.0|0|0.0|100
0|2021-11-09|1318.0|0|1318.0|0|19.0|0|0.0|100
