|dates|Lee_Virginia_UnitedStates.JHU_ConfirmedCases.data|Lee_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Lee_Virginia_UnitedStates.NYT_ConfirmedCases.data|Lee_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Lee_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Lee_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-28|4096.0|0|4096.0|0|67.0|0|0.0|100
0|2021-12-29|4112.0|0|4112.0|0|67.0|0|0.0|100
0|2021-12-30|4126.0|0|4126.0|0|67.0|0|0.0|100
0|2021-12-31|4146.0|0|4146.0|0|67.0|0|0.0|100
0|2022-01-01|4146.0|0|4146.0|0|67.0|0|0.0|100
0|2022-01-02|4146.0|0|4146.0|0|67.0|0|0.0|100
0|2022-01-03|4173.0|0|4173.0|0|67.0|0|0.0|100
0|2022-01-04|4185.0|0|4185.0|0|67.0|0|0.0|100
0|2022-01-05|4202.0|0|4202.0|0|67.0|0|0.0|100
0|2022-01-06|4236.0|0|4236.0|0|68.0|0|0.0|100
0|2022-01-07|4261.0|0|4261.0|0|68.0|0|0.0|100
0|2022-01-08|4261.0|0|4261.0|0|68.0|0|0.0|100
0|2022-01-09|4261.0|0|4261.0|0|68.0|0|0.0|100
0|2022-01-10|4294.0|0|4294.0|0|70.0|0|0.0|100
0|2022-01-11|4312.0|0|4312.0|0|70.0|0|0.0|100
0|2022-01-12|4345.0|0|4345.0|0|70.0|0|0.0|100
0|2022-01-13|4345.0|0|4370.0|0|70.0|0|0.0|100
0|2022-01-14|4399.0|0|4399.0|0|71.0|0|0.0|100
0|2022-01-15|4399.0|0|4399.0|0|71.0|0|0.0|100
0|2022-01-16|4399.0|0|4399.0|0|71.0|0|0.0|100
0|2022-01-17|4523.0|0|0.0|100|71.0|0|0.0|100
