|dates|Washington_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Washington_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Washington_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Washington_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Washington_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|21354.0|0|21354.0|0|321.0|0|0.0|100
0|2021-10-18|21414.0|0|21414.0|0|321.0|0|0.0|100
0|2021-10-19|21447.0|0|21447.0|0|321.0|0|0.0|100
0|2021-10-20|21481.0|0|21481.0|0|321.0|0|0.0|100
0|2021-10-21|21501.0|0|21501.0|0|321.0|0|0.0|100
0|2021-10-22|21511.0|0|21511.0|0|324.0|0|0.0|100
0|2021-10-23|21511.0|0|21511.0|0|324.0|0|0.0|100
0|2021-10-24|21511.0|0|21511.0|0|324.0|0|0.0|100
0|2021-10-25|21511.0|0|21511.0|0|324.0|0|0.0|100
0|2021-10-26|21580.0|0|21580.0|0|325.0|0|0.0|100
0|2021-10-27|21605.0|0|21605.0|0|325.0|0|0.0|100
0|2021-10-28|21646.0|0|21646.0|0|325.0|0|0.0|100
0|2021-10-29|21666.0|0|21666.0|0|326.0|0|0.0|100
0|2021-10-30|21666.0|0|21666.0|0|326.0|0|0.0|100
0|2021-10-31|21666.0|0|21666.0|0|326.0|0|0.0|100
0|2021-11-01|21666.0|0|21666.0|0|326.0|0|0.0|100
0|2021-11-02|21763.0|0|21763.0|0|327.0|0|0.0|100
0|2021-11-03|21791.0|0|21791.0|0|329.0|0|0.0|100
0|2021-11-04|21820.0|0|21820.0|0|329.0|0|0.0|100
0|2021-11-05|21851.0|0|21851.0|0|330.0|0|0.0|100
0|2021-11-06|21851.0|0|21851.0|0|330.0|0|0.0|100
