|dates|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedCases.data|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|OutofTN_Tennessee_UnitedStates.NYT_ConfirmedCases.data|OutofTN_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|29154.0|0|0.0|100|132.0|0|0.0|100
0|2021-10-18|29212.0|0|0.0|100|132.0|0|0.0|100
0|2021-10-19|28769.0|0|0.0|100|132.0|0|0.0|100
0|2021-10-20|28823.0|0|0.0|100|132.0|0|0.0|100
0|2021-10-21|28809.0|0|0.0|100|132.0|0|0.0|100
0|2021-10-22|29125.0|0|0.0|100|132.0|0|0.0|100
0|2021-10-23|29125.0|0|0.0|100|132.0|0|0.0|100
0|2021-10-24|29125.0|0|0.0|100|132.0|0|0.0|100
0|2021-10-25|29125.0|0|0.0|100|132.0|0|0.0|100
0|2021-10-26|29065.0|0|0.0|100|133.0|0|0.0|100
0|2021-10-27|29124.0|0|0.0|100|133.0|0|0.0|100
0|2021-10-28|29104.0|0|0.0|100|134.0|0|0.0|100
0|2021-10-29|29154.0|0|0.0|100|134.0|0|0.0|100
0|2021-10-30|29154.0|0|0.0|100|134.0|0|0.0|100
0|2021-10-31|29154.0|0|0.0|100|134.0|0|0.0|100
0|2021-11-01|29154.0|0|0.0|100|134.0|0|0.0|100
0|2021-11-02|29154.0|0|0.0|100|134.0|0|0.0|100
0|2021-11-03|29027.0|0|0.0|100|134.0|0|0.0|100
0|2021-11-04|29027.0|0|0.0|100|136.0|0|0.0|100
0|2021-11-05|29071.0|0|0.0|100|136.0|0|0.0|100
0|2021-11-06|29071.0|0|0.0|100|136.0|0|0.0|100
0|2021-11-07|29071.0|0|0.0|100|136.0|0|0.0|100
0|2021-11-08|29071.0|0|0.0|100|136.0|0|0.0|100
0|2021-11-09|29082.0|0|0.0|100|137.0|0|0.0|100
0|2021-11-10|29151.0|0|0.0|100|137.0|0|0.0|100
0|2021-11-11|29151.0|0|0.0|100|137.0|0|0.0|100
0|2021-11-12|29222.0|0|0.0|100|138.0|0|0.0|100
0|2021-11-13|29222.0|0|0.0|100|138.0|0|0.0|100
0|2021-11-14|29222.0|0|0.0|100|138.0|0|0.0|100
0|2021-11-15|29281.0|0|0.0|100|138.0|0|0.0|100
0|2021-11-16|29242.0|0|0.0|100|138.0|0|0.0|100
0|2021-11-17|29299.0|0|0.0|100|138.0|0|0.0|100
0|2021-11-18|29313.0|0|0.0|100|139.0|0|0.0|100
0|2021-11-19|29350.0|0|0.0|100|139.0|0|0.0|100
0|2021-11-20|29350.0|0|0.0|100|139.0|0|0.0|100
0|2021-11-21|29350.0|0|0.0|100|139.0|0|0.0|100
0|2021-11-22|29441.0|0|0.0|100|140.0|0|0.0|100
0|2021-11-23|29396.0|0|0.0|100|140.0|0|0.0|100
0|2021-11-24|29456.0|0|0.0|100|140.0|0|0.0|100
0|2021-11-25|29456.0|0|0.0|100|140.0|0|0.0|100
0|2021-11-26|29456.0|0|0.0|100|140.0|0|0.0|100
0|2021-11-27|29456.0|0|0.0|100|140.0|0|0.0|100
0|2021-11-28|29456.0|0|0.0|100|140.0|0|0.0|100
0|2021-11-29|29565.0|0|0.0|100|140.0|0|0.0|100
0|2021-11-30|29614.0|0|0.0|100|140.0|0|0.0|100
0|2021-12-01|29694.0|0|0.0|100|141.0|0|0.0|100
0|2021-12-02|29747.0|0|0.0|100|143.0|0|0.0|100
0|2021-12-03|29796.0|0|0.0|100|144.0|0|0.0|100
0|2021-12-04|29796.0|0|0.0|100|144.0|0|0.0|100
0|2021-12-05|29796.0|0|0.0|100|144.0|0|0.0|100
0|2021-12-06|29908.0|0|0.0|100|145.0|0|0.0|100
0|2021-12-07|29955.0|0|0.0|100|154.0|0|0.0|100
0|2021-12-08|30030.0|0|0.0|100|156.0|0|0.0|100
0|2021-12-09|30030.0|0|0.0|100|156.0|0|0.0|100
0|2021-12-10|29887.0|0|0.0|100|154.0|0|0.0|100
0|2021-12-11|29887.0|0|0.0|100|154.0|0|0.0|100
0|2021-12-12|29887.0|0|0.0|100|154.0|0|0.0|100
0|2021-12-13|29972.0|0|0.0|100|155.0|0|0.0|100
