|dates|Donley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Donley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Donley_Texas_UnitedStates.Male_Total_Population.data|Donley_Texas_UnitedStates.Male_Total_Population.missing|Donley_Texas_UnitedStates.Female_Total_Population.data|Donley_Texas_UnitedStates.Female_Total_Population.missing|Donley_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Donley_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-18|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-19|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-20|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-21|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-22|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-23|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-24|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-25|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-26|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-27|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-28|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-29|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-30|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-10-31|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-01|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-02|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-03|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-04|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-05|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-06|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-07|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-08|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-09|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-10|796.0|0|1630.0|0|1689.0|0|654.0|0
0|2021-11-11|796.0|0|1630.0|0|1689.0|0|654.0|0
