|dates|Unassigned_Maryland_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Maryland_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Maryland_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|0.0|0|0.0|100|58.0|0|0.0|100
0|2021-10-18|0.0|0|0.0|100|72.0|0|0.0|100
0|2021-10-19|0.0|0|0.0|100|72.0|0|0.0|100
0|2021-10-20|0.0|0|0.0|100|70.0|0|0.0|100
0|2021-10-21|0.0|0|0.0|100|63.0|0|0.0|100
0|2021-10-22|0.0|0|0.0|100|63.0|0|0.0|100
0|2021-10-23|0.0|0|0.0|100|61.0|0|0.0|100
0|2021-10-24|0.0|0|0.0|100|65.0|0|0.0|100
0|2021-10-25|0.0|0|0.0|100|67.0|0|0.0|100
0|2021-10-26|0.0|0|0.0|100|61.0|0|0.0|100
0|2021-10-27|0.0|0|0.0|100|55.0|0|0.0|100
0|2021-10-28|0.0|0|0.0|100|46.0|0|0.0|100
0|2021-10-29|0.0|0|0.0|100|47.0|0|0.0|100
0|2021-10-30|0.0|0|0.0|100|53.0|0|0.0|100
0|2021-10-31|0.0|0|0.0|100|61.0|0|0.0|100
0|2021-11-01|0.0|0|0.0|100|74.0|0|0.0|100
0|2021-11-02|0.0|0|0.0|100|53.0|0|0.0|100
0|2021-11-03|0.0|0|0.0|100|49.0|0|0.0|100
0|2021-11-04|0.0|0|0.0|100|50.0|0|0.0|100
0|2021-11-05|0.0|0|0.0|100|53.0|0|0.0|100
0|2021-11-06|0.0|0|0.0|100|38.0|0|0.0|100
0|2021-11-07|0.0|0|0.0|100|45.0|0|0.0|100
0|2021-11-08|0.0|0|0.0|100|59.0|0|0.0|100
0|2021-11-09|0.0|0|0.0|100|55.0|0|0.0|100
0|2021-11-10|0.0|0|0.0|100|55.0|0|0.0|100
0|2021-11-11|0.0|0|0.0|100|40.0|0|0.0|100
0|2021-11-12|0.0|0|0.0|100|43.0|0|0.0|100
0|2021-11-13|0.0|0|0.0|100|55.0|0|0.0|100
0|2021-11-14|0.0|0|0.0|100|62.0|0|0.0|100
0|2021-11-15|0.0|0|0.0|100|67.0|0|0.0|100
0|2021-11-16|0.0|0|0.0|100|55.0|0|0.0|100
0|2021-11-17|0.0|0|0.0|100|46.0|0|0.0|100
