|dates|Marion_Florida_UnitedStates.JHU_ConfirmedCases.data|Marion_Florida_UnitedStates.JHU_ConfirmedCases.missing|Marion_Florida_UnitedStates.NYT_ConfirmedCases.data|Marion_Florida_UnitedStates.NYT_ConfirmedCases.missing|Marion_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|56490.0|0|56318.0|0|996.0|0|0.0|100
0|2021-10-18|56490.0|0|56318.0|0|996.0|0|0.0|100
0|2021-10-19|56490.0|0|56318.0|0|996.0|0|0.0|100
0|2021-10-20|56490.0|0|56318.0|0|996.0|0|0.0|100
0|2021-10-21|56490.0|0|56318.0|0|996.0|0|0.0|100
0|2021-10-22|56730.0|0|56558.0|0|996.0|0|0.0|100
0|2021-10-23|56730.0|0|56558.0|0|996.0|0|0.0|100
0|2021-10-24|56730.0|0|56558.0|0|996.0|0|0.0|100
0|2021-10-25|56730.0|0|56558.0|0|996.0|0|0.0|100
0|2021-10-26|56730.0|0|56558.0|0|996.0|0|0.0|100
0|2021-10-27|56730.0|0|56558.0|0|996.0|0|0.0|100
0|2021-10-28|56730.0|0|56558.0|0|996.0|0|0.0|100
0|2021-10-29|56948.0|0|56776.0|0|996.0|0|0.0|100
0|2021-10-30|56948.0|0|56776.0|0|996.0|0|0.0|100
0|2021-10-31|56948.0|0|56776.0|0|996.0|0|0.0|100
0|2021-11-01|56948.0|0|56776.0|0|996.0|0|0.0|100
0|2021-11-02|56948.0|0|56776.0|0|996.0|0|0.0|100
0|2021-11-03|56948.0|0|56776.0|0|996.0|0|0.0|100
0|2021-11-04|56948.0|0|56776.0|0|996.0|0|0.0|100
0|2021-11-05|57087.0|0|56915.0|0|996.0|0|0.0|100
0|2021-11-06|57087.0|0|56915.0|0|996.0|0|0.0|100
0|2021-11-07|57087.0|0|56915.0|0|996.0|0|0.0|100
0|2021-11-08|57087.0|0|56915.0|0|996.0|0|0.0|100
0|2021-11-09|57087.0|0|56915.0|0|996.0|0|0.0|100
0|2021-11-10|57087.0|0|56915.0|0|996.0|0|0.0|100
0|2021-11-11|57087.0|0|56915.0|0|996.0|0|0.0|100
0|2021-11-12|57220.0|0|57048.0|0|996.0|0|0.0|100
0|2021-11-13|57220.0|0|57048.0|0|996.0|0|0.0|100
0|2021-11-14|57220.0|0|57048.0|0|996.0|0|0.0|100
0|2021-11-15|57220.0|0|57048.0|0|996.0|0|0.0|100
0|2021-11-16|57220.0|0|57048.0|0|996.0|0|0.0|100
0|2021-11-17|57220.0|0|57048.0|0|996.0|0|0.0|100
0|2021-11-18|57220.0|0|57048.0|0|996.0|0|0.0|100
0|2021-11-19|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-20|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-21|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-22|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-23|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-24|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-25|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-26|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-27|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-28|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-29|57347.0|0|57175.0|0|996.0|0|0.0|100
0|2021-11-30|57471.0|0|57299.0|0|996.0|0|0.0|100
0|2021-12-01|57471.0|0|57299.0|0|996.0|0|0.0|100
0|2021-12-02|57471.0|0|57299.0|0|996.0|0|0.0|100
0|2021-12-03|57632.0|0|57460.0|0|996.0|0|0.0|100
0|2021-12-04|57632.0|0|57460.0|0|996.0|0|0.0|100
0|2021-12-05|57632.0|0|57460.0|0|996.0|0|0.0|100
