|dates|Cherokee_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Cherokee_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Cherokee_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Cherokee_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Cherokee_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Cherokee_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Cherokee_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Cherokee_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8912.0|0|8912.0|0|103.0|0|0.0|100
0|2021-10-18|8912.0|0|8912.0|0|103.0|0|0.0|100
0|2021-10-19|8912.0|0|8912.0|0|103.0|0|0.0|100
0|2021-10-20|8983.0|0|8983.0|0|113.0|0|0.0|100
0|2021-10-21|8983.0|0|8983.0|0|113.0|0|0.0|100
0|2021-10-22|8983.0|0|8983.0|0|113.0|0|0.0|100
0|2021-10-23|8983.0|0|8983.0|0|113.0|0|0.0|100
0|2021-10-24|8983.0|0|8983.0|0|113.0|0|0.0|100
0|2021-10-25|8983.0|0|8983.0|0|113.0|0|0.0|100
0|2021-10-26|8983.0|0|8983.0|0|113.0|0|0.0|100
0|2021-10-27|9020.0|0|9020.0|0|115.0|0|0.0|100
0|2021-10-28|9020.0|0|9020.0|0|115.0|0|0.0|100
0|2021-10-29|9020.0|0|9020.0|0|115.0|0|0.0|100
0|2021-10-30|9020.0|0|9020.0|0|115.0|0|0.0|100
0|2021-10-31|9020.0|0|9020.0|0|115.0|0|0.0|100
0|2021-11-01|9020.0|0|9020.0|0|115.0|0|0.0|100
0|2021-11-02|9020.0|0|9020.0|0|115.0|0|0.0|100
0|2021-11-03|9052.0|0|9052.0|0|118.0|0|0.0|100
0|2021-11-04|9052.0|0|9052.0|0|118.0|0|0.0|100
0|2021-11-05|9052.0|0|9052.0|0|118.0|0|0.0|100
0|2021-11-06|9052.0|0|9052.0|0|118.0|0|0.0|100
0|2021-11-07|9052.0|0|9052.0|0|118.0|0|0.0|100
0|2021-11-08|9052.0|0|9052.0|0|118.0|0|0.0|100
0|2021-11-09|9052.0|0|9052.0|0|118.0|0|0.0|100
0|2021-11-10|9052.0|0|9070.0|0|118.0|0|0.0|100
0|2021-11-11|9052.0|0|9070.0|0|118.0|0|0.0|100
0|2021-11-12|9070.0|0|9070.0|0|118.0|0|0.0|100
0|2021-11-13|9070.0|0|9070.0|0|118.0|0|0.0|100
0|2021-11-14|9070.0|0|9070.0|0|118.0|0|0.0|100
0|2021-11-15|9070.0|0|9070.0|0|118.0|0|0.0|100
0|2021-11-16|9070.0|0|9070.0|0|118.0|0|0.0|100
0|2021-11-17|9109.0|0|9109.0|0|118.0|0|0.0|100
