|dates|Custer_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Custer_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Custer_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Custer_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Custer_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Custer_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Custer_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Custer_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1298.0|0|1298.0|0|15.0|0|0.0|100
0|2021-10-18|1298.0|0|1302.0|0|15.0|0|0.0|100
0|2021-10-19|1298.0|0|1309.0|0|15.0|0|0.0|100
0|2021-10-20|1321.0|0|1321.0|0|15.0|0|0.0|100
0|2021-10-21|1326.0|0|1326.0|0|15.0|0|0.0|100
0|2021-10-22|1332.0|0|1332.0|0|15.0|0|0.0|100
0|2021-10-23|1332.0|0|1332.0|0|15.0|0|0.0|100
0|2021-10-24|1332.0|0|1332.0|0|15.0|0|0.0|100
0|2021-10-25|1337.0|0|1337.0|0|15.0|0|0.0|100
0|2021-10-26|1345.0|0|1345.0|0|15.0|0|0.0|100
0|2021-10-27|1348.0|0|1348.0|0|15.0|0|0.0|100
0|2021-10-28|1357.0|0|1357.0|0|15.0|0|0.0|100
0|2021-10-29|1358.0|0|1358.0|0|15.0|0|0.0|100
0|2021-10-30|1358.0|0|1358.0|0|15.0|0|0.0|100
0|2021-10-31|1358.0|0|1358.0|0|15.0|0|0.0|100
0|2021-11-01|1360.0|0|1360.0|0|16.0|0|0.0|100
0|2021-11-02|1367.0|0|1367.0|0|16.0|0|0.0|100
0|2021-11-03|1371.0|0|1371.0|0|16.0|0|0.0|100
0|2021-11-04|1373.0|0|1373.0|0|17.0|0|0.0|100
0|2021-11-05|1378.0|0|1378.0|0|17.0|0|0.0|100
0|2021-11-06|1378.0|0|1378.0|0|17.0|0|0.0|100
0|2021-11-07|1378.0|0|1378.0|0|17.0|0|0.0|100
0|2021-11-08|1383.0|0|1383.0|0|17.0|0|0.0|100
0|2021-11-09|1388.0|0|1388.0|0|17.0|0|0.0|100
0|2021-11-10|1388.0|0|1391.0|0|17.0|0|0.0|100
0|2021-11-11|1391.0|0|1391.0|0|18.0|0|0.0|100
0|2021-11-12|1398.0|0|1398.0|0|18.0|0|0.0|100
0|2021-11-13|1398.0|0|1398.0|0|18.0|0|0.0|100
0|2021-11-14|1398.0|0|1398.0|0|18.0|0|0.0|100
0|2021-11-15|1407.0|0|1407.0|0|18.0|0|0.0|100
0|2021-11-16|1416.0|0|1416.0|0|18.0|0|0.0|100
