|dates|LewisandClark_Montana_UnitedStates.JHU_ConfirmedCases.data|LewisandClark_Montana_UnitedStates.JHU_ConfirmedCases.missing|LewisandClark_Montana_UnitedStates.NYT_ConfirmedCases.data|LewisandClark_Montana_UnitedStates.NYT_ConfirmedCases.missing|LewisandClark_Montana_UnitedStates.JHU_ConfirmedDeaths.data|LewisandClark_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|LewisandClark_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|LewisandClark_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10234.0|0|10234.0|0|106.0|0|0.0|100
0|2021-10-18|10384.0|0|10384.0|0|106.0|0|0.0|100
0|2021-10-19|10536.0|0|10536.0|0|106.0|0|0.0|100
0|2021-10-20|10590.0|0|10590.0|0|107.0|0|0.0|100
0|2021-10-21|10659.0|0|10659.0|0|108.0|0|0.0|100
0|2021-10-22|10710.0|0|10710.0|0|109.0|0|0.0|100
0|2021-10-23|10710.0|0|10710.0|0|109.0|0|0.0|100
0|2021-10-24|10710.0|0|10710.0|0|109.0|0|0.0|100
0|2021-10-25|10826.0|0|10826.0|0|110.0|0|0.0|100
0|2021-10-26|10919.0|0|10919.0|0|110.0|0|0.0|100
0|2021-10-27|10979.0|0|10979.0|0|111.0|0|0.0|100
0|2021-10-28|11049.0|0|11049.0|0|111.0|0|0.0|100
0|2021-10-29|11102.0|0|11102.0|0|116.0|0|0.0|100
0|2021-10-30|11102.0|0|11102.0|0|116.0|0|0.0|100
0|2021-10-31|11102.0|0|11102.0|0|116.0|0|0.0|100
0|2021-11-01|11202.0|0|11202.0|0|116.0|0|0.0|100
0|2021-11-02|11304.0|0|11304.0|0|117.0|0|0.0|100
0|2021-11-03|11367.0|0|11367.0|0|117.0|0|0.0|100
0|2021-11-04|11406.0|0|11406.0|0|117.0|0|0.0|100
0|2021-11-05|11470.0|0|11470.0|0|118.0|0|0.0|100
0|2021-11-06|11470.0|0|11470.0|0|118.0|0|0.0|100
0|2021-11-07|11470.0|0|11470.0|0|118.0|0|0.0|100
0|2021-11-08|11607.0|0|11607.0|0|118.0|0|0.0|100
0|2021-11-09|11688.0|0|11688.0|0|118.0|0|0.0|100
0|2021-11-10|11726.0|0|11726.0|0|118.0|0|0.0|100
0|2021-11-11|11726.0|0|11726.0|0|118.0|0|0.0|100
0|2021-11-12|11786.0|0|11786.0|0|118.0|0|0.0|100
0|2021-11-13|11786.0|0|11786.0|0|118.0|0|0.0|100
0|2021-11-14|11786.0|0|11786.0|0|118.0|0|0.0|100
0|2021-11-15|11810.0|0|11810.0|0|118.0|0|0.0|100
0|2021-11-16|11881.0|0|11881.0|0|119.0|0|0.0|100
0|2021-11-17|11927.0|0|11927.0|0|119.0|0|0.0|100
0|2021-11-18|11963.0|0|11963.0|0|121.0|0|0.0|100
0|2021-11-19|11990.0|0|11990.0|0|121.0|0|0.0|100
0|2021-11-20|11990.0|0|11990.0|0|121.0|0|0.0|100
